date,stock_id,stock_name,open,high,low,close,volume,day_trading_volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio
2026-05-15,3441,聯一光,44.65,46.4,43.1,44.45,5923,2866,-540,0,-1,2.06,97.93,100.0
2026-05-15,3443,創意,5140.0,5205.0,4765.0,4845.0,3680,1261,1116,-531,-97,29.16,70.83,100.0
2026-05-15,3444,利機,95.9,97.0,91.0,92.5,505,115,-137,0,0,10.85,89.14,100.0
2026-05-15,3447,展達,36.4,37.55,36.05,36.25,273,65,51,0,0,1.1,98.89,100.0
2026-05-15,3450,聯鈞,430.0,430.0,392.0,395.5,4681,0,292,-171,-114,25.85,74.14,100.0
2026-05-15,3455,由田,289.0,289.0,264.0,264.5,500,0,105,0,-2,20.2,79.79,100.0
2026-05-15,3465,進泰電子,27.5,27.85,27.35,27.85,17,1,4,0,0,4.71,95.28,100.0
2026-05-15,3466,德晉,39.45,39.45,37.0,37.0,664,87,-207,0,1,17.24,82.75,100.0
2026-05-15,3467,台灣精材,66.0,67.5,64.6,65.2,267,78,21,0,0,1.4,98.59,100.0
2026-05-15,3473,智通聯網,94.29,97.0,92.5,94.7,22,0,0,0,0,0.0,0.0,0.0
2026-05-15,3479,安勤,105.0,105.5,102.0,102.0,1012,352,62,0,-6,5.86,94.13,100.0
2026-05-15,3481,群創,35.8,38.4,35.25,36.1,892798,559845,91015,-314,-2870,28.59,71.4,100.0
2026-05-15,3483,力致,88.8,90.2,87.0,87.7,1122,434,88,0,7,7.56,92.43,100.0
2026-05-15,3484,崧騰,42.75,42.9,42.1,42.35,325,20,-105,0,0,6.99,93.0,100.0
2026-05-15,3485,敘豐,292.0,292.5,271.5,275.0,392,0,79,0,-1,0.28,99.71,100.0
2026-05-15,3489,森寶,22.0,22.2,21.3,21.55,197,15,2,0,0,0.7,99.29,100.0
2026-05-15,3490,單井,39.2,39.2,35.15,36.9,8333,3216,-127,0,-817,6.39,93.6,100.0
2026-05-15,3491,昇達科,1650.0,1725.0,1615.0,1690.0,2223,1068,402,37,-7,31.55,68.44,100.0
2026-05-15,3492,長盛,22.7,22.7,22.25,22.25,70,3,-7,0,0,0.56,99.43,100.0
2026-05-15,3494,誠研,7.69,7.69,7.48,7.56,93,0,-11,0,-2,1.66,98.33,100.0
2026-05-15,3498,陽程,141.0,149.0,132.5,149.0,7585,4021,717,0,57,20.33,79.66,100.0
2026-05-15,3499,環天科,14.65,14.7,14.25,14.5,90,0,11,0,0,0.71,99.28,100.0
2026-05-15,3501,維熹,39.35,41.0,38.8,39.95,1043,287,96,0,-1,3.36,96.63,100.0
2026-05-15,3504,揚明光,71.9,78.5,70.4,77.3,10386,5014,-755,0,-2,2.98,97.01,100.0
2026-05-15,3508,位速,20.0,20.15,19.35,19.55,392,0,90,0,0,0.55,99.44,100.0
2026-05-15,3511,矽瑪,20.5,20.9,19.8,19.8,318,44,2,0,0,3.48,96.51,100.0
2026-05-15,3512,皇龍,20.55,20.55,20.2,20.2,110,8,-16,0,0,0.46,99.53,100.0
2026-05-15,3515,華擎,229.0,230.0,223.5,225.0,503,67,-139,0,-6,7.14,92.85,100.0
2026-05-15,3516,亞帝歐,25.5,25.5,22.9,22.9,2223,511,-21,0,-8,0.33,99.66,100.0
2026-05-15,3518,柏騰,37.0,37.55,32.8,33.0,2945,906,489,0,4,6.95,93.04,100.0
2026-05-15,3520,華盈,15.05,15.05,14.7,14.9,198,32,-3,0,0,1.38,98.61,100.0
2026-05-15,3521,鴻翊,13.2,13.2,13.0,13.1,46,5,-10,0,0,0.35,99.64,100.0
2026-05-15,3521,台鋼建設,13.2,13.2,13.0,13.1,46,5,-10,0,0,0.35,99.64,100.0
2026-05-15,3522,御頂,12.9,13.2,12.6,12.65,167,0,19,0,0,0.28,99.71,100.0
2026-05-15,3522,御嵿,12.9,13.2,12.6,12.65,167,0,19,0,0,0.28,99.71,100.0
2026-05-15,3523,迎輝,11.65,11.65,10.5,10.55,128,0,-4,0,0,0.07,99.92,100.0
2026-05-15,3526,凡甲,385.0,385.0,373.5,374.0,839,267,84,46,-4,21.53,78.46,100.0
2026-05-15,3527,聚積,62.3,62.5,60.0,60.0,172,47,-55,0,0,6.98,93.01,100.0
2026-05-15,3528,安馳,85.0,91.0,83.8,86.6,1416,458,504,0,0,5.56,94.43,100.0
2026-05-15,3529,力旺,3960.0,4025.0,3800.0,3830.0,509,250,132,7,-12,67.59,32.4,100.0
2026-05-15,3530,晶相光,68.9,69.9,66.6,66.6,520,166,13,0,0,41.33,58.66,100.0
2026-05-15,3531,先益,23.4,23.4,23.4,23.4,1,0,0,0,0,19.27,80.72,100.0
2026-05-15,3532,台勝科,236.5,236.5,221.5,221.5,1186,0,-132,0,153,44.41,55.58,100.0
2026-05-15,3533,嘉澤,2450.0,2460.0,2280.0,2330.0,2594,854,94,3,-66,46.4,53.59,100.0
2026-05-15,3535,晶彩科,125.5,130.5,122.0,122.5,5113,2768,30,0,0,1.58,98.41,100.0
2026-05-15,3537,堡達,51.5,56.5,51.4,53.0,4683,2064,-317,0,0,3.23,96.76,100.0
2026-05-15,3540,曜越,26.9,26.9,26.0,26.2,364,33,-52,0,0,3.06,96.93,100.0
2026-05-15,3541,西柏,22.8,22.9,22.8,22.8,84,0,4,0,0,0.95,99.04,100.0
2026-05-15,3543,州巧,37.9,38.1,36.2,36.45,1378,296,36,0,0,7.26,92.73,100.0
2026-05-15,3545,敦泰,57.9,58.2,54.3,55.5,3172,958,-818,0,-26,13.74,86.25,100.0
2026-05-15,3546,宇峻,78.6,78.7,78.6,78.7,751,10,-31,0,4,10.14,89.85,100.0
2026-05-15,3548,兆利,94.6,96.7,92.8,93.0,629,253,58,0,-3,8.65,91.34,100.0
2026-05-15,3550,聯穎,21.35,22.45,20.5,21.0,4371,2229,422,0,-1,5.2,94.79,100.0
2026-05-15,3551,世禾,217.0,217.0,205.0,206.5,1576,464,-71,101,-82,4.43,95.56,100.0
2026-05-15,3552,同致,55.5,56.6,53.0,53.0,524,137,-56,0,-3,9.96,90.03,100.0
2026-05-15,3555,博士旺,216.0,224.0,205.0,205.0,275,92,-30,0,-1,1.47,98.52,100.0
2026-05-15,3556,禾瑞亞,54.3,55.0,52.2,52.2,428,100,-77,0,0,5.64,94.35,100.0
2026-05-15,3557,嘉威,29.5,30.15,27.0,27.0,707,275,-277,0,-5,1.61,98.38,100.0
2026-05-15,3558,神準,111.5,121.0,111.5,121.0,656,57,96,0,16,4.25,95.74,100.0
2026-05-15,3563,牧德,823.0,888.0,804.0,875.0,3424,1252,614,0,75,7.77,92.22,100.0
2026-05-15,3564,其陽,42.0,42.0,41.0,41.0,148,25,15,0,0,3.37,96.62,100.0
2026-05-15,3567,逸昌,28.5,29.5,28.25,28.35,131,30,-16,0,0,3.01,96.98,100.0
2026-05-15,3570,大塚,174.5,174.5,171.0,171.5,40,4,0,0,0,44.75,55.24,100.0
2026-05-15,3576,聯合再生,17.8,18.0,17.0,17.0,18313,0,1094,0,0,11.28,88.71,100.0
2026-05-15,3577,泓格,113.0,119.5,105.5,108.0,3323,1418,131,0,-10,1.75,98.24,100.0
2026-05-15,3580,友威科,96.0,105.0,94.5,105.0,6425,3181,823,0,-1,10.31,89.68,100.0
2026-05-15,3581,博磊,226.0,226.0,204.0,210.0,369,0,-13,0,-1,17.36,82.63,100.0
2026-05-15,3583,辛耘,955.0,960.0,881.0,888.0,3559,2070,60,195,0,18.09,81.9,100.0
2026-05-15,3585,聯致,97.81,96.4,78.5,78.5,7219,0,18,0,0,0.0,0.0,0.0
2026-05-15,3587,閎康,370.0,377.0,350.0,353.0,4087,1961,22,0,-12,11.55,88.44,100.0
2026-05-15,3588,通嘉,62.7,63.2,59.4,60.0,496,175,-5,0,-1,3.79,96.2,100.0
2026-05-15,3591,艾笛森,24.15,24.45,23.35,23.85,1368,476,246,0,1,4.47,95.52,100.0
2026-05-15,3592,瑞鼎,265.0,265.0,246.0,248.5,1702,439,-388,0,-18,16.35,83.64,100.0
2026-05-15,3593,力銘,17.45,17.5,17.25,17.5,33,0,0,0,0,0.25,99.74,100.0
2026-05-15,3594,磐儀,53.0,53.3,49.7,49.7,2839,727,-634,0,-6,2.08,97.91,100.0
2026-05-15,3595,山太士,2790.16,2820.0,2460.0,2545.0,899,0,-24,0,0,0.0,0.0,0.0
2026-05-15,3596,智易,181.5,183.5,179.0,183.5,2724,538,562,0,0,29.84,70.15,100.0
2026-05-15,3597,映興,27.5,27.85,26.85,26.85,94,30,9,0,0,0.75,99.24,100.0
2026-05-15,3603,建祥國際,9.34,9.68,8.4,8.5,42,0,0,0,0,0.0,0.0,0.0
2026-05-15,3605,宏致,81.0,81.7,76.5,77.1,5508,1882,327,0,-271,12.06,87.93,100.0
2026-05-15,3607,谷崧,14.65,14.7,14.05,14.1,666,106,-207,0,0,6.03,93.96,100.0
2026-05-15,3609,三一東林,27.95,28.25,25.1,27.35,871,287,-276,0,-1,2.77,97.22,100.0
2026-05-15,3611,鼎翰,191.0,191.0,187.5,188.0,41,2,-13,0,-1,11.9,88.09,100.0
2026-05-15,3615,安可,36.25,39.5,35.35,37.25,12587,6995,996,0,0,6.94,93.05,100.0
2026-05-15,3617,碩天,194.0,198.0,188.5,190.0,357,108,1,0,18,8.77,91.22,100.0
2026-05-15,3622,洋華,55.4,55.9,53.0,53.3,1045,174,-160,0,3,3.53,96.46,100.0
2026-05-15,3623,富晶通,23.0,23.2,22.65,22.8,44,7,-9,0,0,2.8,97.19,100.0
2026-05-15,3624,光頡,74.1,80.5,71.4,76.2,33811,17146,6073,3012,-114,56.19,43.8,100.0
2026-05-15,3625,西勝,14.5,14.65,13.65,13.9,759,0,-299,0,0,5.27,94.72,100.0
2026-05-15,3628,盈正,64.6,64.8,62.9,62.9,242,25,-46,0,0,4.7,95.29,100.0
2026-05-15,3629,地心引力,0.0,0.0,0.0,0.0,0,0,0,0,0,0.02,99.97,100.0
2026-05-15,3630,新鉅科,25.5,27.0,25.3,25.6,1841,642,-372,0,7,39.57,60.42,100.0
2026-05-15,3631,晟楠,39.0,39.5,38.1,38.1,184,50,-7,0,0,8.08,91.91,100.0
2026-05-15,3632,研勤,8.23,8.23,8.22,8.22,30,0,0,0,0,0.29,99.7,100.0
2026-05-15,3633,云光,128.47,131.5,127.5,129.5,82,0,0,0,0,0.0,0.0,0.0
2026-05-15,3645,達邁,112.0,116.0,104.0,106.0,23145,12111,2316,0,-123,15.92,84.07,100.0
2026-05-15,3646,艾恩特,24.45,24.6,23.3,23.8,95,40,8,0,0,6.83,93.16,100.0
2026-05-15,3652,精聯,30.2,30.2,29.55,29.75,66,6,-13,0,0,0.61,99.38,100.0
2026-05-15,3653,健策,3365.0,3470.0,3350.0,3465.0,816,0,207,-52,-106,26.82,73.17,100.0
2026-05-15,3659,百辰,25.71,25.9,24.65,24.9,24,0,1,0,0,0.0,0.0,0.0
2026-05-15,3661,世芯-KY,4990.0,5010.0,4595.0,4605.0,2725,1289,400,-80,-69,55.31,44.68,100.0
2026-05-15,3663,鑫科,68.8,72.6,67.7,69.0,3634,2170,40,0,30,2.87,97.12,100.0
2026-05-15,3664,安瑞-KY,9.23,9.23,9.23,9.23,90,0,1,0,0,37.97,62.02,100.0
2026-05-15,3665,貿聯-KY,2335.0,2335.0,2060.0,2095.0,10273,3377,2535,-3381,165,54.9,45.09,100.0
2026-05-15,3666,光耀,29.0,29.1,28.3,28.65,152,31,-16,0,0,0.27,99.72,100.0
2026-05-15,3669,圓展,38.6,39.2,37.3,37.75,228,56,-63,0,-5,2.37,97.62,100.0
2026-05-15,3672,康聯訊,11.05,11.25,11.0,11.0,8,0,2,0,0,2.44,97.55,100.0
2026-05-15,3673,TPK-KY,64.1,65.3,62.0,64.7,20845,11588,2085,0,95,43.02,56.97,100.0
2026-05-15,3675,德微,259.0,267.0,240.5,242.0,2240,1172,-143,0,-14,56.72,43.27,100.0
2026-05-15,3678,聯享,59.16,60.0,57.7,59.9,64,0,3,0,0,0.0,0.0,0.0
2026-05-15,3679,新至陞,118.5,119.0,118.0,118.0,48,6,2,0,1,8.9,91.09,100.0
2026-05-15,3680,家登,592.0,592.0,557.0,568.0,3254,1580,669,0,-77,24.01,75.98,100.0
2026-05-15,3684,榮昌,58.3,60.1,58.3,59.3,183,36,17,0,0,1.33,98.66,100.0
2026-05-15,3685,元創精密,28.15,28.15,27.0,27.5,237,0,9,0,0,0.28,99.71,100.0
2026-05-15,3686,達能,17.25,18.95,17.25,17.65,846,0,220,0,0,1.42,98.57,100.0
2026-05-15,3687,歐買尬,63.2,64.2,62.5,62.5,90,14,-19,0,1,4.77,95.22,100.0
2026-05-15,3689,湧德,124.0,126.0,118.5,119.0,3281,1050,-128,0,-55,5.96,94.03,100.0
2026-05-15,3691,碩禾,152.5,152.5,146.5,152.5,5168,2519,418,0,76,9.49,90.5,100.0
2026-05-15,3693,營邦,567.0,567.0,544.0,546.0,1094,527,104,0,0,11.76,88.23,100.0
2026-05-15,3694,海華,59.0,61.8,57.5,59.0,3302,1716,102,0,50,4.5,95.49,100.0
2026-05-15,3701,大眾控,57.5,57.8,55.2,55.6,1935,587,-106,0,0,4.37,95.62,100.0
2026-05-15,3702,大聯大,114.0,114.0,109.0,110.0,8843,2659,1718,-822,-16,35.5,64.49,100.0
2026-05-15,3703,欣陸,20.2,20.3,20.05,20.1,1330,159,-304,0,-10,20.39,79.6,100.0
2026-05-15,3704,合勤控,37.2,39.2,36.9,38.2,8711,1893,3822,0,0,11.1,88.89,100.0
2026-05-15,3705,永信,55.7,56.3,55.7,56.1,155,21,46,0,0,7.21,92.78,100.0
2026-05-15,3706,神達,81.8,82.5,79.5,79.9,14866,3189,-5554,-3,-303,9.56,90.43,100.0
2026-05-15,3707,漢磊,85.0,87.5,79.2,80.4,50909,33247,-2730,0,-26,15.43,84.56,100.0
2026-05-15,3708,上緯投控,116.5,117.5,113.0,113.5,937,164,-315,0,-18,5.19,94.8,100.0
2026-05-15,3709,鑫聯大投控,82.3,84.5,79.8,81.1,2683,1182,-142,0,36,10.02,89.97,100.0
2026-05-15,3710,連展投控,6.22,6.23,6.09,6.18,340,0,-86,0,0,2.21,97.78,100.0
2026-05-15,3711,日月光投控,555.0,564.0,537.0,547.0,18822,6692,657,418,449,78.36,21.63,100.0
2026-05-15,3712,永崴投控,16.2,16.2,16.2,16.2,401,10,37,0,-15,1.25,98.74,100.0
2026-05-15,3713,新晶投控,13.55,13.55,12.95,13.25,288,0,-1,0,0,0.38,99.61,100.0
2026-05-15,3714,富采,68.7,69.7,66.1,67.2,17788,8162,2017,0,-147,11.4,88.59,100.0
2026-05-15,3715,定穎投控,182.5,182.5,172.0,175.0,15836,4773,-5497,0,-274,8.86,91.13,100.0
