date,stock_id,stock_name,open,high,low,close,volume,day_trading_volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio
2026-06-11,0050,元大台灣50,100.0,100.55,97.6,99.85,299040,38421,-91840,2846,-78743,6.02,93.97,100.0
2026-06-11,0051,元大中型100,136.15,137.8,133.0,136.7,139,26,12,0,-47,0.61,99.38,100.0
2026-06-11,0052,富邦科技,57.95,58.6,56.8,58.15,41628,11382,2726,0,-2750,1.8,98.19,100.0
2026-06-11,0053,元大電子,227.9,230.0,222.6,227.7,112,15,6,0,-55,1.1,98.89,100.0
2026-06-11,0054,元大台商50,23.4,23.5,23.4,23.5,11,0,0,0,0,0.0,0.0,0.0
2026-06-11,0055,元大MSCI金融,39.36,39.85,38.88,39.66,1132,272,77,0,-34,1.16,98.83,100.0
2026-06-11,0056,元大高股息,49.24,49.8,48.46,49.59,68453,21341,-1295,150,-6506,0.78,99.21,100.0
2026-06-11,0057,富邦摩台,295.4,297.35,290.2,295.3,82,14,1,0,-41,5.97,94.02,100.0
2026-06-11,0058,富邦發達,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
2026-06-11,0059,富邦金融,40.2,40.47,40.2,40.47,2,0,0,0,0,0.0,0.0,0.0
2026-06-11,0061,元大寶滬深,24.48,24.49,24.2,24.27,63,0,-11,0,45,5.1,94.89,100.0
2026-06-11,1101,台泥,23.95,24.35,23.8,24.25,31962,5635,-1379,145,314,14.27,85.72,100.0
2026-06-11,1102,亞泥,34.5,34.75,34.25,34.5,16391,3581,-4557,-23,182,12.23,87.76,100.0
2026-06-11,1103,嘉泥,13.5,13.5,13.25,13.45,270,74,62,0,16,4.57,95.42,100.0
2026-06-11,1104,環泥,29.25,29.25,28.7,29.0,1047,191,-354,0,45,15.14,84.85,100.0
2026-06-11,1108,幸福,13.75,13.8,13.6,13.65,282,55,-29,0,1,1.36,98.63,100.0
2026-06-11,1109,信大,14.6,14.65,14.45,14.6,112,9,34,0,7,2.35,97.64,100.0
2026-06-11,1110,東泥,15.4,15.5,15.2,15.4,185,54,68,0,10,5.81,94.18,100.0
2026-06-11,1201,味全,12.5,12.6,12.3,12.4,330,60,-35,0,11,4.99,95.0,100.0
2026-06-11,1203,味王,43.0,43.0,41.8,42.75,35,3,5,0,1,1.72,98.27,100.0
2026-06-11,1210,大成,55.9,55.9,54.8,55.7,6968,1525,-3740,4338,42,8.74,91.25,100.0
2026-06-11,1213,大飲,8.39,8.4,8.3,8.32,7,0,0,0,0,0.01,99.98,100.0
2026-06-11,1215,卜蜂,119.0,119.0,116.0,117.5,3238,843,1347,-1702,7,37.97,62.02,100.0
2026-06-11,1216,統一,74.4,75.6,74.4,75.6,14585,3083,6666,581,8277,31.58,68.41,100.0
2026-06-11,1217,愛之味,9.86,9.86,9.77,9.86,681,94,109,0,12,7.96,92.03,100.0
2026-06-11,1218,泰山,19.35,19.4,19.15,19.2,3121,223,-585,0,11,3.95,96.04,100.0
2026-06-11,1219,福壽,12.65,12.65,12.4,12.5,205,27,-26,0,20,5.51,94.48,100.0
2026-06-11,1220,台榮,11.65,11.65,11.5,11.6,152,7,2,0,0,7.09,92.9,100.0
2026-06-11,1225,福懋油,30.4,30.4,29.35,29.35,231,23,-82,0,-7,1.34,98.65,100.0
2026-06-11,1227,佳格,28.5,29.1,28.45,28.85,2727,711,585,0,24,6.68,93.31,100.0
2026-06-11,1229,聯華,41.55,41.6,40.95,41.3,1939,298,503,0,51,9.01,90.98,100.0
2026-06-11,1231,聯華食,87.9,87.9,86.7,87.2,232,58,-6,0,8,2.71,97.28,100.0
2026-06-11,1232,大統益,149.5,150.0,148.5,149.5,155,16,46,0,10,2.54,97.45,100.0
2026-06-11,1233,天仁,27.75,28.0,27.7,28.0,9,0,6,0,0,5.76,94.23,100.0
2026-06-11,1234,黑松,34.95,35.2,34.7,35.2,208,54,65,0,3,4.74,95.25,100.0
2026-06-11,1235,興泰,38.75,38.75,37.4,38.0,16,7,2,0,-2,0.25,99.74,100.0
2026-06-11,1236,宏亞,25.9,25.9,25.55,25.65,20,6,4,0,0,0.46,99.53,100.0
2026-06-11,1240,茂生農經,57.8,57.8,57.8,57.8,3,0,0,0,0,3.66,96.33,100.0
2026-06-11,1256,鮮活果汁-KY,176.0,179.0,172.0,175.0,161,35,52,0,0,4.67,95.32,100.0
2026-06-11,1259,安心,58.4,59.6,58.4,59.6,19,1,0,0,0,26.12,73.87,100.0
2026-06-11,1260,富味鄉,23.53,23.55,23.05,23.3,34,0,3,0,0,0.0,0.0,0.0
2026-06-11,1262,綠悅-KY,59.5,62.9,59.5,62.2,3379,0,0,0,0,0.0,0.0,0.0
2026-06-11,1264,德麥,267.5,272.0,267.5,271.0,28,3,4,0,-5,1.76,98.23,100.0
2026-06-11,1268,漢來美食,168.0,169.0,167.5,167.5,18,2,2,0,0,1.7,98.29,100.0
2026-06-11,1269,乾杯,66.37,71.5,67.5,69.3,6,0,0,0,0,0.0,0.0,0.0
2026-06-11,1271,晨暉生技,64.37,65.2,62.1,63.2,103,0,0,0,0,0.0,0.0,0.0
2026-06-11,1293,利統,26.85,27.35,26.8,27.35,13,0,0,0,0,0.0,0.0,0.0
2026-06-11,1294,漢田生技,78.2,80.8,76.2,77.5,43,13,-12,0,0,0.57,99.42,100.0
2026-06-11,1295,生合,49.0,49.0,48.2,48.95,44,7,-17,0,0,2.23,97.76,100.0
