date,stock_id,stock_name,open,high,low,close,volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio,macd_status
2026-02-02,50,元大台灣50,71.55,71.75,70.9,71.5,234325,-79109,-1995,-10685,2.43,97.56,100.0,-
2026-02-02,51,元大中型100,105.5,105.5,103.25,104.4,216,-15,0,-94,0.47,99.52,100.0,-
2026-02-02,52,富邦科技,42.7,42.73,42.21,42.52,79577,-1811,0,-15478,0.67,99.32,100.0,-
2026-02-02,53,元大電子,158.25,158.65,156.65,158.25,34,-1,0,2,1.33,98.66,100.0,-
2026-02-02,55,元大MSCI金融,32.03,32.03,31.6,31.72,162,-23,0,-17,0.51,99.48,100.0,-
2026-02-02,56,元大高股息,37.28,37.33,37.0,37.15,87721,-18037,0,-3621,0.3,99.69,100.0,-
2026-02-02,57,富邦摩台,210.95,210.95,209.85,210.95,7,0,0,-2,4.09,95.9,100.0,-
2026-02-02,61,元大寶滬深,23.2,23.63,23.2,23.3,562,418,0,-192,5.29,94.7,100.0,-
2026-02-02,1101,台泥,26.25,26.25,25.7,25.9,48157,-8021,-2,-1788,18.36,81.63,100.0,-
2026-02-02,1102,亞泥,35.25,35.25,34.6,34.6,10349,-6604,-64,-68,16.84,83.15,100.0,-
2026-02-02,1103,嘉泥,14.3,14.3,13.9,14.05,254,-110,0,-12,4.53,95.46,100.0,-
2026-02-02,1104,環泥,29.6,29.6,29.1,29.4,605,-326,0,25,16.35,83.64,100.0,-
2026-02-02,1108,幸福,15.0,15.05,14.95,15.0,168,0,0,5,1.27,98.72,100.0,-
2026-02-02,1109,信大,15.4,15.45,15.3,15.45,136,-23,0,0,2.28,97.71,100.0,-
2026-02-02,1110,東泥,16.25,16.3,15.75,15.9,380,-80,0,-13,5.94,94.05,100.0,-
2026-02-02,1201,味全,14.6,14.6,14.35,14.4,282,-107,0,6,5.43,94.56,100.0,-
2026-02-02,1203,味王,39.3,39.45,39.0,39.25,13,-2,0,-5,1.62,98.37,100.0,-
2026-02-02,1210,大成,50.9,51.0,50.4,50.7,2129,-637,-47,-2,10.07,89.92,100.0,-
2026-02-02,1213,大飲,9.8,10.1,9.8,10.1,9,0,0,0,0.02,99.97,100.0,-
2026-02-02,1215,卜蜂,148.5,149.0,146.5,148.0,411,94,-23,-13,41.6,58.39,100.0,-
2026-02-02,1216,統一,72.3,72.3,71.3,71.6,7255,-841,42,-81,32.82,67.17,100.0,-
2026-02-02,1217,愛之味,10.65,10.65,10.4,10.4,806,-160,0,4,8.32,91.67,100.0,-
2026-02-02,1218,泰山,18.25,18.25,18.05,18.1,490,-130,0,-5,3.16,96.83,100.0,-
2026-02-02,1219,福壽,13.55,13.55,13.35,13.5,327,14,0,2,5.36,94.63,100.0,-
2026-02-02,1220,台榮,12.7,12.85,12.65,12.85,93,-21,0,6,6.9,93.09,100.0,-
2026-02-02,1225,福懋油,28.2,28.2,27.95,27.95,223,-54,0,0,1.4,98.59,100.0,-
2026-02-02,1227,佳格,29.1,29.1,28.5,28.8,1270,-537,0,4,5.56,94.43,100.0,-
2026-02-02,1229,聯華,45.95,45.95,45.2,45.45,1795,-392,0,-42,9.54,90.45,100.0,-
2026-02-02,1231,聯華食,93.9,93.9,92.3,93.5,514,-97,0,-6,2.79,97.2,100.0,-
2026-02-02,1232,大統益,146.0,146.0,145.0,145.0,60,6,0,-6,2.22,97.77,100.0,-
2026-02-02,1233,天仁,32.1,32.1,32.0,32.05,17,-2,0,17,5.51,94.48,100.0,-
2026-02-02,1234,黑松,37.1,37.1,36.85,36.85,89,-46,0,-9,4.77,95.22,100.0,-
2026-02-02,1235,興泰,42.55,42.95,42.55,42.95,2,1,0,0,0.17,99.82,100.0,-
2026-02-02,1236,宏亞,26.15,26.5,25.75,26.3,276,-33,0,114,0.4,99.59,100.0,-
2026-02-02,1240,茂生農經,60.3,61.0,59.9,59.9,29,-1,0,0,3.64,96.35,100.0,-
2026-02-02,1256,鮮活果汁-KY,157.0,160.0,155.5,156.5,40,11,0,-1,4.32,95.67,100.0,-
2026-02-02,1259,安心,59.9,59.9,58.6,59.1,8,1,0,0,26.11,73.88,100.0,-
2026-02-02,1260,富味鄉,22.03,21.7,19.5,20.45,162,0,0,0,0.0,0.0,0.0,-
2026-02-02,1264,德麥,279.0,287.0,277.0,279.0,24,-5,0,0,1.49,98.5,100.0,-
2026-02-02,1268,漢來美食,158.0,158.5,157.0,158.0,21,-2,0,0,1.64,98.35,100.0,-
2026-02-02,1269,乾杯,68.02,68.0,66.6,66.6,11,0,0,0,0.0,0.0,0.0,-
2026-02-02,1271,晨暉生技,61.42,61.9,59.7,59.7,43,0,0,0,0.0,0.0,0.0,-
2026-02-02,1293,利統,27.81,28.1,28.1,28.1,0,0,0,0,0.0,0.0,0.0,-
2026-02-02,1294,漢田生技,75.0,76.4,73.6,75.5,28,0,0,0,0.5,99.49,100.0,-
2026-02-02,1295,生合,81.6,81.6,78.0,79.5,98,3,0,-1,2.4,97.59,100.0,-
2026-02-02,1301,台塑,46.55,46.9,43.7,44.3,47493,-13630,-10,-1187,29.27,70.72,100.0,-
2026-02-02,1303,南亞,74.6,75.4,70.0,70.6,68943,-671,-435,-1086,30.83,69.16,100.0,-
2026-02-02,1304,台聚,11.9,11.9,11.0,11.05,10400,-3267,0,-1369,28.81,71.18,100.0,-
2026-02-02,1305,華夏,12.4,12.4,11.5,11.6,4872,-882,0,-29,4.72,95.27,100.0,-
2026-02-02,1307,三芳,31.2,31.2,30.6,30.8,1054,-217,0,-166,6.86,93.13,100.0,-
2026-02-02,1308,亞聚,13.65,13.65,12.95,13.15,3129,-599,0,-10,5.6,94.39,100.0,-
2026-02-02,1309,台達化,12.15,12.15,11.45,11.55,2014,-385,0,-2,2.13,97.86,100.0,-
2026-02-02,1310,台苯,8.88,8.88,8.66,8.85,2420,-117,0,-1,7.18,92.81,100.0,-
2026-02-02,1312,國喬,13.25,13.25,12.5,12.8,13908,97,0,-1423,6.62,93.37,100.0,-
2026-02-02,1313,聯成,11.15,11.15,10.2,10.25,6594,-2418,0,-9,7.52,92.47,100.0,-
2026-02-02,1314,中石化,7.98,7.98,7.8,7.83,19470,-3928,0,-16,10.65,89.34,100.0,-
2026-02-02,1315,達新,64.0,64.0,63.9,64.0,4,0,0,0,1.16,98.83,100.0,-
2026-02-02,1316,上曜,13.9,13.9,13.6,13.7,1788,115,0,-115,4.0,95.99,100.0,-
2026-02-02,1319,東陽,108.5,110.0,107.5,108.0,1847,-273,96,-110,12.55,87.44,100.0,-
2026-02-02,1321,大洋,33.3,33.3,32.9,33.1,272,-43,0,1,6.96,93.03,100.0,-
2026-02-02,1323,永裕,18.75,18.75,18.55,18.75,46,-2,0,0,1.64,98.35,100.0,-
2026-02-02,1324,地球,10.7,10.75,10.55,10.75,42,-4,0,0,0.62,99.37,100.0,-
2026-02-02,1325,恆大,31.45,33.15,30.6,30.85,4157,-648,0,0,1.07,98.92,100.0,-
2026-02-02,1326,台化,41.55,41.75,38.5,38.95,39014,-1438,483,-2025,34.56,65.43,100.0,-
2026-02-02,1336,台翰,16.15,16.25,15.85,15.95,112,-13,0,0,4.09,95.9,100.0,-
2026-02-02,1337,再生-KY,5.62,5.9,5.6,5.62,1935,95,0,0,24.84,75.15,100.0,-
2026-02-02,1338,廣華-KY,19.9,19.95,19.8,19.85,54,-4,0,0,6.03,93.96,100.0,-
2026-02-02,1339,昭輝,42.1,42.35,41.7,42.15,45,-3,0,1,0.85,99.14,100.0,-
2026-02-02,1340,勝悅-KY,6.75,6.75,6.4,6.48,241,53,0,0,26.96,73.03,100.0,-
2026-02-02,1341,富林-KY,57.6,57.6,57.6,57.6,1,0,0,0,79.8,20.19,100.0,-
2026-02-02,1342,八貫,93.0,94.1,91.7,93.9,226,49,0,-18,27.93,72.06,100.0,-
2026-02-02,1343,旭東環保,28.87,29.7,28.45,29.45,23,0,0,0,0.0,0.0,0.0,-
2026-02-02,1402,遠東新,27.8,27.8,27.25,27.75,8765,-296,-233,-65,19.49,80.5,100.0,-
