date,stock_id,stock_name,open,high,low,close,volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio,macd_status
2026-01-21,50,元大台灣50,71.8,72.5,71.7,71.85,173683,-56688,5000,-54033,2.42,97.57,100.0,-
2026-01-21,51,元大中型100,102.65,103.05,100.8,101.1,114,-1,0,-18,0.57,99.42,100.0,-
2026-01-21,52,富邦科技,42.11,42.49,42.0,42.11,78759,-6238,830,-40693,0.8,99.19,100.0,-
2026-01-21,53,元大電子,157.1,157.7,155.75,155.9,28,1,0,-9,1.17,98.82,100.0,-
2026-01-21,55,元大MSCI金融,32.3,32.31,32.0,32.1,343,-13,0,-12,0.53,99.46,100.0,-
2026-01-21,56,元大高股息,38.39,38.53,38.09,38.21,153787,-18463,14518,-48928,0.22,99.77,100.0,-
2026-01-21,57,富邦摩台,210.1,211.1,209.05,209.1,27,0,0,-1,4.06,95.93,100.0,-
2026-01-21,61,元大寶滬深,23.73,23.94,23.69,23.85,420,-2,0,328,4.92,95.07,100.0,-
2026-01-21,1101,台泥,25.75,26.45,25.5,26.15,57836,-4056,-22,1330,18.67,81.32,100.0,-
2026-01-21,1102,亞泥,36.05,36.05,35.5,35.55,11445,-5037,-1155,592,17.22,82.77,100.0,-
2026-01-21,1103,嘉泥,13.95,14.15,13.9,14.05,354,-40,0,-1,4.47,95.52,100.0,-
2026-01-21,1104,環泥,30.25,30.25,29.8,29.85,820,-422,0,19,16.45,83.54,100.0,-
2026-01-21,1108,幸福,15.2,15.2,15.05,15.05,451,-25,0,-8,1.25,98.74,100.0,-
2026-01-21,1109,信大,15.45,15.45,15.35,15.45,100,-18,0,6,2.28,97.71,100.0,-
2026-01-21,1110,東泥,16.5,16.5,16.3,16.5,544,-87,0,1,5.93,94.06,100.0,-
2026-01-21,1201,味全,14.4,14.45,14.35,14.45,228,-71,0,-2,5.42,94.57,100.0,-
2026-01-21,1203,味王,39.45,39.65,39.3,39.65,29,-12,0,-1,1.62,98.37,100.0,-
2026-01-21,1210,大成,52.2,52.3,52.0,52.2,1188,291,-65,-37,10.36,89.63,100.0,-
2026-01-21,1213,大飲,9.77,10.25,9.65,10.15,64,0,0,0,0.02,99.97,100.0,-
2026-01-21,1215,卜蜂,151.0,155.0,151.0,154.5,881,120,-27,-10,41.69,58.3,100.0,-
2026-01-21,1216,統一,74.5,74.7,74.1,74.3,8055,233,-1490,738,32.96,67.03,100.0,-
2026-01-21,1217,愛之味,10.6,10.75,10.55,10.6,976,184,0,-1,8.24,91.75,100.0,-
2026-01-21,1218,泰山,18.35,18.35,18.2,18.3,650,-108,0,4,3.07,96.92,100.0,-
2026-01-21,1219,福壽,13.4,13.45,13.35,13.35,396,94,0,13,5.3,94.69,100.0,-
2026-01-21,1220,台榮,12.95,13.0,12.85,12.95,261,-9,0,-5,6.88,93.11,100.0,-
2026-01-21,1225,福懋油,28.15,28.75,28.0,28.75,193,24,0,0,1.4,98.59,100.0,-
2026-01-21,1227,佳格,29.2,29.3,29.1,29.15,1191,-199,0,-9,5.67,94.32,100.0,-
2026-01-21,1229,聯華,46.5,46.5,46.05,46.15,1994,-451,-5,0,9.62,90.37,100.0,-
2026-01-21,1231,聯華食,93.5,93.9,93.0,93.9,328,-11,0,-3,2.77,97.22,100.0,-
2026-01-21,1232,大統益,146.0,146.0,144.5,146.0,88,-14,0,0,2.21,97.78,100.0,-
2026-01-21,1233,天仁,32.45,32.5,32.15,32.2,42,-6,0,31,5.5,94.49,100.0,-
2026-01-21,1234,黑松,37.05,37.2,37.0,37.1,156,-49,0,0,4.78,95.21,100.0,-
2026-01-21,1235,興泰,42.0,42.1,39.8,39.9,65,-24,0,-2,0.16,99.83,100.0,-
2026-01-21,1236,宏亞,24.35,24.5,24.35,24.5,18,0,0,-2,0.43,99.56,100.0,-
2026-01-21,1240,茂生農經,60.6,60.9,60.5,60.7,21,-1,0,0,3.65,96.34,100.0,-
