date,stock_id,stock_name,open,high,low,close,volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio
2026-05-12,0050,元大台灣50,96.85,97.35,95.5,96.85,102303,-12502,0,-3421,3.31,96.68,100.0
2026-05-12,0051,元大中型100,135.55,136.95,134.25,134.6,101,0,0,-29,0.45,99.54,100.0
2026-05-12,0052,富邦科技,57.05,57.4,56.1,56.9,42873,88,0,4037,1.98,98.01,100.0
2026-05-12,0053,元大電子,224.4,225.7,221.35,224.9,55,0,0,36,0.74,99.25,100.0
2026-05-12,0055,元大MSCI金融,34.0,34.13,33.45,33.45,511,-168,0,-38,0.69,99.3,100.0
2026-05-12,0056,元大高股息,45.79,45.95,45.24,45.58,71013,-1001,-200,34432,1.02,98.97,100.0
2026-05-12,0057,富邦摩台,287.25,289.15,285.75,288.85,49,0,0,0,5.12,94.87,100.0
2026-05-12,0061,元大寶滬深,25.28,25.37,25.2,25.3,323,83,0,13,4.48,95.51,100.0
2026-05-12,1101,台泥,25.45,25.5,24.85,24.95,28275,-11364,-18,-486,16.31,83.68,100.0
2026-05-12,1102,亞泥,34.75,34.9,34.6,34.6,7762,-695,-841,-465,16.28,83.71,100.0
2026-05-12,1103,嘉泥,13.45,13.45,13.25,13.3,341,-187,0,-13,4.52,95.47,100.0
2026-05-12,1104,環泥,28.2,28.55,28.05,28.2,986,-178,0,-16,15.73,84.26,100.0
2026-05-12,1108,幸福,14.55,14.55,14.15,14.2,1201,-237,0,0,1.3,98.69,100.0
2026-05-12,1109,信大,15.4,15.4,15.3,15.3,72,-20,0,-7,2.38,97.61,100.0
2026-05-12,1110,東泥,15.3,15.3,14.7,15.0,136,-48,0,-8,5.89,94.1,100.0
2026-05-12,1201,味全,12.3,12.3,12.15,12.15,382,-55,0,-13,5.09,94.9,100.0
2026-05-12,1203,味王,42.95,43.3,42.6,42.9,46,1,0,-1,1.72,98.27,100.0
2026-05-12,1210,大成,52.3,52.6,52.0,52.1,2474,-398,-116,-23,11.89,88.1,100.0
2026-05-12,1213,大飲,8.62,8.77,8.4,8.7,30,0,0,0,0.01,99.98,100.0
2026-05-12,1215,卜蜂,133.5,135.5,132.0,135.0,1193,-481,-2,4,35.93,64.06,100.0
2026-05-12,1216,統一,73.9,74.7,73.1,73.1,15905,3691,-1014,-706,32.34,67.65,100.0
2026-05-12,1217,愛之味,9.7,9.76,9.65,9.67,803,-82,0,-13,7.59,92.4,100.0
2026-05-12,1218,泰山,19.1,19.1,18.85,18.9,873,-254,0,-26,4.11,95.88,100.0
2026-05-12,1219,福壽,13.35,13.35,13.2,13.2,549,-284,0,-7,5.64,94.35,100.0
2026-05-12,1220,台榮,12.35,12.35,12.25,12.3,95,-27,0,0,7.19,92.8,100.0
2026-05-12,1225,福懋油,32.0,32.1,31.4,31.55,251,-107,0,0,1.38,98.61,100.0
2026-05-12,1227,佳格,28.95,29.1,28.75,28.8,1196,-214,11,-37,5.69,94.3,100.0
2026-05-12,1229,聯華,41.2,41.2,40.35,40.5,4754,-1395,0,-34,9.16,90.83,100.0
2026-05-12,1231,聯華食,87.0,87.0,85.9,86.3,286,-30,0,-7,2.74,97.25,100.0
2026-05-12,1232,大統益,148.0,148.0,147.5,147.5,79,-32,0,-4,2.63,97.36,100.0
2026-05-12,1233,天仁,28.55,28.9,28.55,28.65,29,-14,0,-2,5.61,94.38,100.0
2026-05-12,1234,黑松,35.05,35.05,34.85,34.9,192,-60,0,-1,4.82,95.17,100.0
2026-05-12,1235,興泰,44.2,44.5,44.2,44.3,3,0,0,-1,0.26,99.73,100.0
2026-05-12,1236,宏亞,26.75,26.75,25.15,25.15,124,-24,0,3,0.47,99.52,100.0
2026-05-12,1240,茂生農經,58.9,59.9,57.0,57.7,106,-3,0,1,3.67,96.32,100.0
2026-05-12,1256,鮮活果汁-KY,193.0,193.0,186.5,186.5,327,68,0,-1,4.81,95.18,100.0
2026-05-12,1259,安心,57.5,59.5,56.9,59.5,21,1,0,0,26.11,73.88,100.0
2026-05-12,1260,富味鄉,24.27,24.9,23.9,24.9,76,0,0,0,0.0,0.0,0.0
2026-05-12,1264,德麥,271.0,273.0,271.0,273.0,22,4,0,0,1.63,98.36,100.0
2026-05-12,1268,漢來美食,160.0,160.0,158.5,159.5,38,-5,0,0,1.55,98.44,100.0
2026-05-12,1269,乾杯,70.37,72.1,70.0,72.1,4,-1,0,0,0.0,0.0,0.0
2026-05-12,1271,晨暉生技,71.09,71.0,67.0,67.3,252,-8,0,0,0.0,0.0,0.0
2026-05-12,1293,利統,26.86,28.1,26.9,28.0,6,1,0,0,0.0,0.0,0.0
2026-05-12,1294,漢田生技,78.5,80.2,78.4,79.4,24,-4,0,0,0.67,99.32,100.0
2026-05-12,1295,生合,53.4,53.4,50.8,51.0,210,0,0,0,1.87,98.12,100.0
2026-05-12,1301,台塑,49.55,49.55,47.6,47.65,25928,-14874,-46,-488,30.8,69.19,100.0
2026-05-12,1303,南亞,92.4,92.9,88.5,89.1,63621,-9120,-456,-1772,33.26,66.73,100.0
2026-05-12,1304,台聚,13.0,13.1,12.75,12.75,3603,-244,0,-83,27.98,72.01,100.0
2026-05-12,1305,華夏,13.2,13.35,12.95,13.0,2699,193,0,-49,4.15,95.84,100.0
2026-05-12,1307,三芳,32.65,32.75,32.3,32.3,1094,144,-24,-28,6.21,93.78,100.0
2026-05-12,1308,亞聚,13.6,13.65,13.4,13.45,1790,191,0,-41,3.87,96.12,100.0
2026-05-12,1309,台達化,16.75,16.9,16.45,16.65,3956,748,0,-29,2.89,97.1,100.0
2026-05-12,1310,台苯,8.67,8.71,8.52,8.52,2618,-224,0,-5,4.84,95.15,100.0
2026-05-12,1312,國喬,11.9,11.9,11.5,11.5,4919,-1784,0,-74,4.48,95.51,100.0
2026-05-12,1313,聯成,11.25,11.3,11.05,11.2,2027,688,0,-18,5.97,94.02,100.0
2026-05-12,1314,中石化,7.09,7.13,7.01,7.08,16856,4082,0,-97,8.71,91.28,100.0
2026-05-12,1315,達新,61.8,62.0,61.5,61.5,21,-8,0,0,1.3,98.69,100.0
2026-05-12,1316,上曜,11.65,11.8,11.25,11.45,2250,-895,0,-21,4.32,95.67,100.0
2026-05-12,1319,東陽,80.8,80.8,79.1,80.0,3530,-1519,-13,-65,7.62,92.37,100.0
2026-05-12,1321,大洋,29.6,29.65,29.15,29.45,220,-35,0,-6,6.79,93.2,100.0
2026-05-12,1323,永裕,19.6,19.75,19.3,19.45,142,-30,0,-1,1.46,98.53,100.0
2026-05-12,1324,地球,10.3,10.3,10.2,10.2,61,-11,0,0,0.78,99.21,100.0
2026-05-12,1325,恆大,28.1,28.1,27.05,27.05,296,-88,0,0,1.27,98.72,100.0
2026-05-12,1326,台化,48.1,48.2,46.7,47.05,13453,611,0,-200,37.27,62.72,100.0
2026-05-12,1336,台翰,13.8,14.3,13.8,13.8,163,11,0,0,4.43,95.56,100.0
2026-05-12,1337,再生-KY,4.9,5.09,4.9,5.0,572,54,0,0,25.76,74.23,100.0
2026-05-12,1338,廣華-KY,16.75,16.75,16.3,16.45,173,5,0,-5,6.24,93.75,100.0
2026-05-12,1339,昭輝,41.0,41.0,39.65,40.0,383,-20,0,0,0.97,99.02,100.0
2026-05-12,1340,勝悅-KY,5.5,5.52,5.46,5.47,141,-26,0,2,26.64,73.35,100.0
2026-05-12,1341,富林-KY,61.0,61.1,60.9,60.9,11,1,0,0,79.88,20.11,100.0
2026-05-12,1342,八貫,95.6,95.6,94.4,95.0,215,24,0,-8,29.96,70.03,100.0
2026-05-12,1343,旭東環保,20.79,21.0,20.5,21.0,37,0,0,0,0.0,0.0,0.0
2026-05-12,1402,遠東新,26.35,26.85,26.35,26.65,26015,13866,-3,-128,18.06,81.93,100.0
2026-05-12,1409,新纖,17.3,17.35,16.7,16.85,7369,-2303,0,-202,12.99,87.0,100.0
2026-05-12,1410,南染,27.7,27.9,26.75,26.8,138,-10,0,0,18.89,81.1,100.0
2026-05-12,1413,宏洲,9.63,9.63,9.31,9.45,65,-3,0,0,0.4,99.59,100.0
2026-05-12,1414,東和,16.4,16.4,15.85,15.9,228,-82,0,-1,1.15,98.84,100.0
2026-05-12,1416,廣豐,11.3,11.35,11.2,11.2,153,-22,0,0,6.07,93.92,100.0
2026-05-12,1417,嘉裕,8.67,8.87,8.35,8.55,228,-12,0,-12,1.0,98.99,100.0
2026-05-12,1418,東華,18.6,18.7,18.1,18.4,25,1,0,0,0.94,99.05,100.0
2026-05-12,1419,新紡,64.2,64.2,62.0,62.5,107,-51,0,-5,1.19,98.8,100.0
2026-05-12,1423,利華,40.0,41.15,39.55,40.2,78,-12,0,1,1.55,98.44,100.0
2026-05-12,1432,大魯閣,16.75,16.8,16.6,16.7,226,-63,0,0,0.36,99.63,100.0
2026-05-12,1434,福懋,16.1,16.1,15.55,15.7,2983,-1387,19,-41,7.48,92.51,100.0
2026-05-12,1436,華友聯,48.65,48.65,47.9,48.35,364,51,0,-2,4.69,95.3,100.0
