date,stock_id,stock_name,open,high,low,close,volume,day_trading_volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio,macd_status
2026-06-18,7808,訊聯智藥,36.8,37.3,36.65,36.8,16,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,7810,捷創科技,206.0,210.0,206.0,208.0,37,0,9,0,0,0.0,0.0,0.0,空
2026-06-18,7811,民盛,79.0,79.1,78.7,79.1,5,0,1,0,0,0.0,0.0,0.0,多
2026-06-18,7812,稜研科技*,79.65,84.6,80.3,81.8,109,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7813,宇辰系統,140.75,142.5,127.5,138.5,88,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,7814,海昌生技,35.24,35.65,35.1,35.5,56,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7815,新特,362.47,363.5,346.5,350.5,176,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7816,來穎,63.48,64.5,63.5,64.2,14,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7818,溢泰實業,61.3,62.4,61.1,62.2,429,0,34,0,0,0.0,0.0,0.0,多
2026-06-18,7819,精誠金融,43.0,43.45,42.75,43.15,75,0,-9,0,0,0.0,0.0,0.0,多
2026-06-18,7820,立盈,118.0,119.0,118.0,118.0,17,0,-2,0,0,0.0,0.0,0.0,多
2026-06-18,7821,神數,44.15,44.15,43.8,43.9,152,0,-63,0,10,0.0,0.0,0.0,多
2026-06-18,7822,倍利科,1170.0,1175.0,1140.0,1165.0,245,0,21,0,0,0.0,0.0,0.0,多
2026-06-18,7823,奧義賽博-KY創,82.4,82.5,82.0,82.1,12,0,-1,0,2,0.0,0.0,0.0,空
2026-06-18,7824,智寶,44.02,45.7,44.0,45.0,4,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7825,和亞智慧,93.05,97.0,93.2,95.0,32,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7826,極風雲創,41.9,41.95,41.95,41.95,0,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,7827,漢康-KY創,165.0,168.0,161.0,164.5,463,0,-5,0,2,0.0,0.0,0.0,多
2026-06-18,7828,創新服務,2100.0,2110.0,1980.0,2000.0,96,0,4,0,-6,0.0,0.0,0.0,多
2026-06-18,7829,思捷優達-KY,40.6,41.5,37.65,41.5,80,0,3,0,0,0.0,0.0,0.0,空
2026-06-18,7831,捷博,35.95,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,7832,智新生技*,11.14,11.55,11.1,11.4,121,0,0,0,0,0.0,0.0,0.0,多
