date,stock_id,stock_name,open,high,low,close,volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio,macd_status
2026-03-30,50,元大台灣50,73.3,74.05,72.8,73.9,175515,-70742,1900,-29635,2.64,97.35,100.0,-
2026-03-30,51,元大中型100,108.55,109.2,107.5,109.2,68,0,0,-18,0.56,99.43,100.0,-
2026-03-30,52,富邦科技,43.4,43.74,43.32,43.66,47419,-3846,0,-9767,0.92,99.07,100.0,-
2026-03-30,53,元大電子,165.0,165.9,164.1,165.9,16,0,0,-5,1.39,98.6,100.0,-
2026-03-30,55,元大MSCI金融,31.77,32.14,31.77,31.98,182,13,0,61,0.59,99.4,100.0,-
2026-03-30,56,元大高股息,37.81,37.93,37.61,37.85,98696,-1636,220,-76010,0.21,99.78,100.0,-
2026-03-30,57,富邦摩台,219.95,220.85,218.65,220.85,80,0,0,-2,6.03,93.96,100.0,-
2026-03-30,61,元大寶滬深,22.96,22.98,22.77,22.97,187,0,0,50,4.4,95.59,100.0,-
2026-03-30,1101,台泥,22.45,22.75,22.4,22.55,18235,-3003,0,-437,17.85,82.14,100.0,-
2026-03-30,1102,亞泥,34.25,35.15,34.2,35.15,13319,2396,17,826,16.0,83.99,100.0,-
2026-03-30,1103,嘉泥,13.5,13.65,13.4,13.5,330,19,0,-28,4.44,95.55,100.0,-
2026-03-30,1104,環泥,29.35,30.35,29.35,29.85,890,-5,3,-24,16.18,83.81,100.0,-
2026-03-30,1108,幸福,14.8,14.9,14.8,14.85,133,-45,0,-4,1.21,98.78,100.0,-
2026-03-30,1109,信大,15.2,15.3,15.05,15.2,236,-55,0,-10,2.28,97.71,100.0,-
2026-03-30,1110,東泥,15.0,15.4,14.95,15.4,150,19,0,-4,5.91,94.08,100.0,-
2026-03-30,1201,味全,13.3,13.45,13.25,13.4,237,7,0,-19,5.29,94.7,100.0,-
2026-03-30,1203,味王,39.1,39.45,39.05,39.45,17,-7,0,-2,1.61,98.38,100.0,-
2026-03-30,1210,大成,54.2,54.6,54.0,54.5,1751,89,-7,-37,11.27,88.72,100.0,-
2026-03-30,1213,大飲,9.6,9.6,9.57,9.57,6,0,0,0,0.01,99.98,100.0,-
2026-03-30,1215,卜蜂,140.0,142.5,138.5,140.0,1242,-443,51,-9,40.72,59.27,100.0,-
2026-03-30,1216,統一,71.3,72.3,71.3,71.9,13622,-3027,53,1083,32.2,67.79,100.0,-
2026-03-30,1217,愛之味,10.25,10.4,10.2,10.4,726,180,0,-21,8.2,91.79,100.0,-
2026-03-30,1218,泰山,19.3,19.45,19.15,19.35,1024,155,0,4,4.29,95.7,100.0,-
2026-03-30,1219,福壽,13.8,14.2,13.75,14.2,864,157,0,22,5.61,94.38,100.0,-
2026-03-30,1220,台榮,12.5,12.85,12.45,12.75,220,-14,0,-2,7.1,92.89,100.0,-
2026-03-30,1225,福懋油,32.3,32.3,31.65,31.85,193,-12,0,-4,1.23,98.76,100.0,-
2026-03-30,1227,佳格,30.05,30.55,30.05,30.3,927,513,2,-28,6.15,93.84,100.0,-
2026-03-30,1229,聯華,44.9,45.2,44.5,44.75,1933,-293,5,-65,9.39,90.6,100.0,-
2026-03-30,1231,聯華食,90.9,92.5,90.6,91.7,266,4,1,-12,2.73,97.26,100.0,-
2026-03-30,1232,大統益,148.5,150.0,148.5,150.0,64,-2,0,-5,2.5,97.49,100.0,-
2026-03-30,1233,天仁,28.85,29.0,28.55,29.0,13,-1,0,-1,5.52,94.47,100.0,-
2026-03-30,1234,黑松,35.85,35.95,35.75,35.85,125,-13,0,0,4.75,95.24,100.0,-
2026-03-30,1235,興泰,39.45,39.45,37.65,37.9,15,-2,0,-2,0.15,99.84,100.0,-
2026-03-30,1236,宏亞,26.15,26.15,25.85,26.05,38,-12,0,-1,0.43,99.56,100.0,-
2026-03-30,1240,茂生農經,59.5,59.6,59.1,59.1,15,0,0,0,3.64,96.35,100.0,-
2026-03-30,1256,鮮活果汁-KY,147.5,151.0,147.0,149.5,46,3,0,0,4.13,95.86,100.0,-
2026-03-30,1259,安心,59.1,59.6,59.1,59.6,2,1,0,0,26.11,73.88,100.0,-
2026-03-30,1260,富味鄉,22.98,24.0,23.0,24.0,101,0,0,0,0.0,0.0,0.0,-
2026-03-30,1264,德麥,278.0,280.0,277.0,280.0,25,11,0,0,1.63,98.36,100.0,-
2026-03-30,1268,漢來美食,155.5,156.5,155.5,156.5,4,-1,0,0,1.56,98.43,100.0,-
2026-03-30,1269,乾杯,65.19,72.5,65.5,72.3,66,0,0,0,0.0,0.0,0.0,-
2026-03-30,1271,晨暉生技,60.42,62.2,60.4,62.0,175,0,0,0,0.0,0.0,0.0,-
2026-03-30,1293,利統,28.0,28.5,27.85,28.5,5,0,0,0,0.0,0.0,0.0,-
2026-03-30,1294,漢田生技,81.4,81.5,81.0,81.1,6,-1,0,0,0.8,99.19,100.0,-
2026-03-30,1295,生合,66.9,66.9,65.0,65.3,38,-6,0,0,2.88,97.11,100.0,-
2026-03-30,1301,台塑,46.6,49.3,46.5,48.25,59280,-3258,1211,541,28.64,71.35,100.0,-
2026-03-30,1303,南亞,72.1,81.6,71.8,81.4,133187,27414,5377,2825,31.13,68.86,100.0,-
2026-03-30,1304,台聚,17.55,17.8,17.45,17.8,29413,5797,0,89,28.41,71.58,100.0,-
2026-03-30,1305,華夏,18.2,18.4,18.0,18.4,27817,3950,0,58,4.34,95.65,100.0,-
2026-03-30,1307,三芳,34.0,35.7,33.7,34.8,2813,385,0,1,6.62,93.37,100.0,-
2026-03-30,1308,亞聚,19.0,19.4,18.95,19.4,25979,5113,0,66,4.41,95.58,100.0,-
2026-03-30,1309,台達化,24.35,24.35,24.35,24.35,4582,-169,0,21,3.38,96.61,100.0,-
