date,stock_id,stock_name,open,high,low,close,volume,day_trading_volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio
2026-05-08,0050,元大台灣50,97.35,97.7,95.85,97.0,131188,19869,-46154,0,-17526,3.39,96.6,100.0
2026-05-08,0051,元大中型100,133.4,133.65,130.45,131.65,114,10,-27,0,-7,0.46,99.53,100.0
2026-05-08,0052,富邦科技,57.2,57.5,56.2,57.1,33899,5000,-619,-380,-4573,2.22,97.77,100.0
2026-05-08,0053,元大電子,221.15,224.9,220.0,222.05,49,4,-20,0,6,0.74,99.25,100.0
2026-05-08,0055,元大MSCI金融,34.22,34.45,33.98,34.39,290,3,-7,0,92,0.8,99.19,100.0
2026-05-08,0056,元大高股息,44.7,45.2,44.29,44.85,97813,13812,46497,0,11678,1.81,98.18,100.0
2026-05-08,0057,富邦摩台,290.35,290.4,287.9,288.35,8,0,-3,0,0,5.05,94.94,100.0
2026-05-08,0061,元大寶滬深,24.86,24.97,24.69,24.82,186,3,68,0,-18,4.13,95.86,100.0
2026-05-08,1101,台泥,25.6,25.7,24.95,25.0,27759,6057,-3849,0,-7,16.54,83.45,100.0
2026-05-08,1102,亞泥,34.95,35.35,34.9,34.95,6615,1217,111,-779,-127,16.37,83.62,100.0
2026-05-08,1103,嘉泥,13.4,13.6,13.4,13.4,202,14,96,0,-1,4.54,95.45,100.0
2026-05-08,1104,環泥,28.5,28.5,28.15,28.3,571,115,-215,0,-7,15.77,84.22,100.0
2026-05-08,1108,幸福,14.65,14.65,14.55,14.55,141,14,31,0,0,1.33,98.66,100.0
2026-05-08,1109,信大,15.45,15.45,15.4,15.4,122,3,31,0,1,2.39,97.6,100.0
2026-05-08,1110,東泥,15.25,15.35,14.85,15.0,125,69,37,0,-5,5.89,94.1,100.0
2026-05-08,1201,味全,12.45,12.45,12.3,12.4,401,46,41,0,3,5.11,94.88,100.0
2026-05-08,1203,味王,44.0,44.0,43.05,44.0,46,8,15,0,-2,1.72,98.27,100.0
2026-05-08,1210,大成,52.2,52.9,52.2,52.9,1921,234,266,-214,-2,12.03,87.96,100.0
2026-05-08,1213,大飲,8.7,8.83,8.7,8.75,33,0,0,0,0,0.01,99.98,100.0
2026-05-08,1215,卜蜂,134.5,136.5,130.5,134.0,3515,575,-1232,25,64,36.32,63.67,100.0
2026-05-08,1216,統一,70.2,73.4,70.0,73.2,35053,3956,16940,767,-78,32.29,67.7,100.0
2026-05-08,1217,愛之味,9.69,9.72,9.64,9.66,660,61,-119,0,0,7.61,92.38,100.0
2026-05-08,1218,泰山,19.1,19.2,19.0,19.1,794,134,130,0,1,4.16,95.83,100.0
2026-05-08,1219,福壽,13.4,13.45,13.35,13.4,334,65,45,0,0,5.71,94.28,100.0
2026-05-08,1220,台榮,12.3,12.4,12.25,12.25,131,34,-5,0,0,7.21,92.78,100.0
2026-05-08,1225,福懋油,32.85,32.85,31.8,32.0,188,29,-66,0,0,1.4,98.59,100.0
2026-05-08,1227,佳格,28.95,29.15,28.9,29.05,581,45,35,0,-4,5.74,94.25,100.0
2026-05-08,1229,聯華,41.75,42.35,41.75,42.15,3007,269,80,0,0,9.37,90.62,100.0
2026-05-08,1231,聯華食,86.7,88.0,86.4,86.5,308,68,-14,0,0,2.78,97.21,100.0
2026-05-08,1232,大統益,148.0,149.0,147.5,148.0,154,16,30,0,-1,2.65,97.34,100.0
2026-05-08,1233,天仁,29.3,29.3,28.8,28.8,17,0,3,0,0,5.62,94.37,100.0
2026-05-08,1234,黑松,35.3,35.35,35.1,35.2,134,19,14,0,0,4.84,95.15,100.0
2026-05-08,1235,興泰,45.2,45.8,45.15,45.8,19,3,15,0,0,0.26,99.73,100.0
2026-05-08,1236,宏亞,26.4,26.55,26.15,26.35,64,27,-8,0,0,0.5,99.49,100.0
2026-05-08,1240,茂生農經,58.9,59.4,58.9,59.0,35,4,-2,0,0,3.69,96.3,100.0
2026-05-08,1256,鮮活果汁-KY,171.5,177.0,169.5,176.0,235,50,6,0,-4,4.68,95.31,100.0
2026-05-08,1259,安心,57.9,58.0,57.0,57.5,17,0,-1,0,0,26.11,73.88,100.0
2026-05-08,1260,富味鄉,24.01,24.8,23.65,24.75,42,0,0,0,0,0.0,0.0,0.0
2026-05-08,1264,德麥,270.5,272.5,270.5,271.5,35,0,4,0,-15,1.58,98.41,100.0
2026-05-08,1268,漢來美食,158.0,160.0,158.0,158.5,119,12,10,0,0,1.55,98.44,100.0
2026-05-08,1269,乾杯,72.3,72.3,70.0,72.2,4,0,0,0,0,0.0,0.0,0.0
2026-05-08,1271,晨暉生技,64.66,66.8,64.2,66.2,208,0,1,0,0,0.0,0.0,0.0
2026-05-08,1293,利統,27.63,28.1,28.1,28.1,0,0,0,0,0,0.0,0.0,0.0
2026-05-08,1294,漢田生技,79.4,80.2,77.5,78.0,57,6,-3,0,0,0.67,99.32,100.0
2026-05-08,1295,生合,55.5,55.5,52.6,54.1,103,23,-6,0,0,1.9,98.09,100.0
2026-05-08,1301,台塑,51.0,51.3,48.15,48.55,38566,11647,-7919,0,-159,30.97,69.02,100.0
2026-05-08,1303,南亞,89.5,90.8,86.6,88.6,61558,28712,-11042,70,-2958,33.19,66.8,100.0
2026-05-08,1304,台聚,13.15,13.25,12.7,12.7,5050,952,-594,0,-39,27.98,72.01,100.0
2026-05-08,1305,華夏,13.2,13.25,12.7,12.75,3097,1041,-344,0,7,3.95,96.04,100.0
2026-05-08,1307,三芳,31.5,32.3,31.5,32.2,1464,314,-170,153,320,6.05,93.94,100.0
