date,stock_id,stock_name,open,high,low,close,volume,day_trading_volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio
2026-05-18,0050,元大台灣50,94.0,95.2,93.3,94.9,118571,9293,-43213,2580,-18251,2.92,97.07,100.0
2026-05-18,0051,元大中型100,128.05,129.8,126.7,129.3,149,1,4,0,68,0.48,99.51,100.0
2026-05-18,0052,富邦科技,55.15,56.1,54.75,55.85,31823,4471,4035,-100,-4116,1.81,98.18,100.0
2026-05-18,0053,元大電子,213.9,218.25,213.9,218.2,48,1,27,0,-20,1.34,98.65,100.0
2026-05-18,0055,元大MSCI金融,33.64,33.74,33.49,33.49,219,24,-16,0,-78,0.64,99.35,100.0
2026-05-18,0056,元大高股息,44.01,44.75,43.66,44.5,59831,9021,5628,380,139,0.9,99.09,100.0
2026-05-18,0057,富邦摩台,279.05,281.95,277.2,281.95,69,20,17,0,-19,6.81,93.18,100.0
2026-05-18,0061,元大寶滬深,25.0,25.0,24.74,24.8,289,24,-182,0,142,4.4,95.59,100.0
2026-05-18,1101,台泥,24.1,24.15,23.7,24.05,31808,6215,-17029,0,175,15.65,84.34,100.0
2026-05-18,1102,亞泥,34.3,34.55,34.1,34.35,9040,1904,-3579,-1,-20,16.03,83.96,100.0
2026-05-18,1103,嘉泥,12.95,13.0,12.85,12.9,392,27,-200,0,-3,4.52,95.47,100.0
2026-05-18,1104,環泥,27.35,27.5,27.1,27.35,516,36,-117,0,-12,15.58,84.41,100.0
2026-05-18,1108,幸福,13.8,13.85,13.6,13.7,410,55,56,0,0,1.21,98.78,100.0
2026-05-18,1109,信大,14.8,14.8,14.45,14.6,492,8,-151,0,-14,2.27,97.72,100.0
2026-05-18,1110,東泥,14.2,14.35,14.0,14.2,312,54,-122,0,0,5.83,94.16,100.0
2026-05-18,1201,味全,12.05,12.1,11.95,12.0,554,28,16,0,0,5.04,94.95,100.0
