date,stock_id,stock_name,open,high,low,close,volume,day_trading_volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio,macd_status
2026-06-15,50,元大台灣50,105.1,105.5,104.3,105.25,100402,0,17368,5400,7031,0.0,0.0,0.0,-
2026-06-15,51,元大中型100,142.8,144.0,142.3,142.5,88,0,0,0,9,0.0,0.0,0.0,-
2026-06-15,52,富邦科技,61.35,61.6,60.9,61.6,31567,0,4678,0,11376,0.0,0.0,0.0,-
2026-06-15,53,元大電子,240.15,241.0,239.0,240.9,34,0,0,0,20,0.0,0.0,0.0,-
2026-06-15,55,元大MSCI金融,40.63,41.15,40.6,41.0,969,0,-128,0,245,0.0,0.0,0.0,-
2026-06-15,56,元大高股息,51.85,52.0,51.3,51.5,33706,0,3772,230,3788,0.0,0.0,0.0,-
2026-06-15,57,富邦摩台,310.45,311.6,309.3,311.6,15,0,0,0,5,0.0,0.0,0.0,-
2026-06-15,61,元大寶滬深,25.0,25.27,24.96,25.21,372,0,-153,0,306,0.0,0.0,0.0,-
2026-06-15,1101,台泥,24.95,25.4,24.8,24.85,41019,0,5132,334,-100,0.0,0.0,0.0,多
2026-06-15,1102,亞泥,35.55,36.0,35.4,35.45,15860,0,-2828,151,1124,0.0,0.0,0.0,多
2026-06-15,1103,嘉泥,13.65,13.75,13.55,13.7,377,0,10,0,10,0.0,0.0,0.0,多
2026-06-15,1104,環泥,29.4,29.5,29.1,29.1,1080,0,-108,0,14,0.0,0.0,0.0,多
2026-06-15,1108,幸福,13.85,13.95,13.8,13.95,356,0,126,0,4,0.0,0.0,0.0,多
2026-06-15,1109,信大,14.7,14.9,14.7,14.75,193,0,39,0,3,0.0,0.0,0.0,多
2026-06-15,1110,東泥,15.6,16.4,15.5,15.8,453,0,44,0,7,0.0,0.0,0.0,多
2026-06-15,1201,味全,12.5,12.55,12.35,12.5,545,0,-62,0,4,0.0,0.0,0.0,多
2026-06-15,1203,味王,43.65,43.65,42.2,43.65,35,0,22,0,1,0.0,0.0,0.0,空
2026-06-15,1210,大成,55.3,55.8,54.5,55.8,4898,0,-1149,2357,2,0.0,0.0,0.0,多
2026-06-15,1213,大飲,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,空
2026-06-15,1215,卜蜂,118.0,118.0,114.5,115.5,2753,0,-1615,0,5,0.0,0.0,0.0,空
2026-06-15,1216,統一,77.6,77.7,75.6,76.3,15439,0,-1200,497,23,0.0,0.0,0.0,多
2026-06-15,1217,愛之味,9.9,9.97,9.83,9.84,620,0,69,0,10,0.0,0.0,0.0,多
2026-06-15,1218,泰山,17.95,18.0,17.85,17.95,1761,0,-810,0,2,0.0,0.0,0.0,空
2026-06-15,1219,福壽,12.65,12.65,12.5,12.5,306,0,80,0,15,0.0,0.0,0.0,多
2026-06-15,1220,台榮,11.75,11.75,11.7,11.7,52,0,8,0,1,0.0,0.0,0.0,多
2026-06-15,1225,福懋油,31.75,31.75,30.4,30.4,463,0,-70,0,3,0.0,0.0,0.0,多
2026-06-15,1227,佳格,29.3,29.3,28.8,28.95,1600,0,-634,0,16,0.0,0.0,0.0,多
