date,stock_id,stock_name,open,high,low,close,volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio,macd_status
2026-04-09,50,元大台灣50,79.3,79.4,78.8,79.15,95094,44119,890,-11582,3.57,96.42,100.0,-
2026-04-09,51,元大中型100,114.05,114.95,114.05,114.6,86,1,0,38,0.57,99.42,100.0,-
2026-04-09,52,富邦科技,47.0,47.0,46.7,46.9,38613,7651,0,6953,2.11,97.88,100.0,-
2026-04-09,53,元大電子,179.0,179.45,178.95,179.1,14,-1,0,-3,1.34,98.65,100.0,-
2026-04-09,55,元大MSCI金融,33.21,33.28,33.02,33.2,160,-9,0,-52,0.62,99.37,100.0,-
2026-04-09,56,元大高股息,39.08,39.1,38.96,39.08,38939,2307,0,3093,0.87,99.12,100.0,-
2026-04-09,57,富邦摩台,234.9,235.1,234.05,235.05,18,0,0,0,6.03,93.96,100.0,-
2026-04-09,61,元大寶滬深,23.5,23.5,23.4,23.41,126,-4,0,96,4.69,95.3,100.0,-
2026-04-09,1101,台泥,25.5,25.75,24.8,25.1,48830,-8090,-66,-2887,17.46,82.53,100.0,-
2026-04-09,1102,亞泥,35.6,35.9,35.5,35.9,9967,-2190,7,-63,15.88,84.11,100.0,-
2026-04-09,1103,嘉泥,13.9,13.95,13.7,13.7,170,16,0,-12,4.48,95.51,100.0,-
2026-04-09,1104,環泥,29.5,29.5,29.2,29.2,368,-140,1,-7,16.16,83.83,100.0,-
2026-04-09,1108,幸福,14.85,14.9,14.75,14.8,416,119,0,0,1.27,98.72,100.0,-
2026-04-09,1109,信大,15.45,15.5,15.4,15.45,42,1,0,-3,2.29,97.7,100.0,-
2026-04-09,1110,東泥,15.05,15.4,15.0,15.4,185,43,0,-5,5.95,94.04,100.0,-
2026-04-09,1201,味全,13.55,13.55,13.25,13.35,665,-379,0,-49,5.27,94.72,100.0,-
2026-04-09,1203,味王,39.9,39.9,39.9,39.9,2,0,0,0,1.62,98.37,100.0,-
2026-04-09,1210,大成,54.8,54.8,54.1,54.4,1356,272,-21,-15,11.52,88.47,100.0,-
2026-04-09,1213,大飲,9.35,9.59,9.15,9.45,12,0,0,0,0.01,99.98,100.0,-
2026-04-09,1215,卜蜂,141.0,142.5,140.5,141.0,792,-203,-2,52,40.07,59.92,100.0,-
2026-04-09,1216,統一,72.5,72.7,71.6,72.0,7471,-1019,-70,-134,32.16,67.83,100.0,-
2026-04-09,1217,愛之味,10.35,10.35,10.25,10.25,288,-96,0,-7,8.08,91.91,100.0,-
2026-04-09,1218,泰山,19.45,19.45,19.3,19.35,636,-97,0,-6,4.33,95.66,100.0,-
2026-04-09,1219,福壽,13.8,14.1,13.75,13.95,1243,324,0,-2,5.81,94.18,100.0,-
2026-04-09,1220,台榮,12.45,12.55,12.45,12.5,57,5,0,0,7.1,92.89,100.0,-
2026-04-09,1225,福懋油,32.25,32.45,31.95,32.45,229,15,0,-7,1.28,98.71,100.0,-
2026-04-09,1227,佳格,30.3,30.3,30.05,30.1,572,-202,13,-15,6.2,93.79,100.0,-
2026-04-09,1229,聯華,44.95,44.95,44.5,44.65,1344,-24,1,-20,9.47,90.52,100.0,-
2026-04-09,1231,聯華食,92.9,92.9,92.0,92.3,233,-76,0,-4,2.75,97.24,100.0,-
2026-04-09,1232,大統益,150.0,150.5,149.5,150.5,45,22,0,-2,2.55,97.44,100.0,-
2026-04-09,1233,天仁,29.7,29.7,29.3,29.3,10,1,0,0,5.53,94.46,100.0,-
2026-04-09,1234,黑松,35.75,35.95,35.75,35.85,96,-22,0,-1,4.76,95.23,100.0,-
2026-04-09,1235,興泰,41.25,44.85,41.25,43.0,133,10,0,-3,0.16,99.83,100.0,-
