date,stock_id,stock_name,open,high,low,close,volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio,macd_status
2026-03-10,50,元大台灣50,75.9,76.25,74.3,75.2,173870,-40262,3300,-6981,3.57,96.42,100.0,-
2026-03-10,51,元大中型100,104.35,105.5,103.3,104.8,83,-11,0,3,0.51,99.48,100.0,-
2026-03-10,52,富邦科技,45.1,45.22,43.93,44.56,76531,1084,44,12232,1.12,98.87,100.0,-
2026-03-10,53,元大電子,165.5,167.65,164.1,165.85,36,-13,0,13,0.88,99.11,100.0,-
2026-03-10,55,元大MSCI金融,32.35,32.5,32.07,32.12,254,21,0,40,0.58,99.41,100.0,-
2026-03-10,56,元大高股息,38.48,38.49,37.64,37.88,48391,-5351,0,-4414,0.37,99.62,100.0,-
2026-03-10,57,富邦摩台,223.25,225.45,219.45,221.8,66,-3,0,1,5.04,94.95,100.0,-
2026-03-10,61,元大寶滬深,23.3,23.63,23.3,23.6,324,265,0,32,6.38,93.61,100.0,-
2026-03-10,1101,台泥,24.65,24.8,24.1,24.25,22193,-4289,48,36,18.05,81.94,100.0,-
2026-03-10,1102,亞泥,34.25,34.4,34.0,34.15,5317,-1518,68,95,16.79,83.2,100.0,-
2026-03-10,1103,嘉泥,13.55,13.55,13.35,13.35,262,-15,0,-5,4.47,95.52,100.0,-
2026-03-10,1104,環泥,28.9,29.2,28.65,28.75,668,-39,0,23,16.24,83.75,100.0,-
2026-03-10,1108,幸福,15.1,15.2,14.8,14.9,358,21,0,5,1.27,98.72,100.0,-
2026-03-10,1109,信大,15.3,15.4,15.25,15.3,126,-25,0,-4,2.34,97.65,100.0,-
2026-03-10,1110,東泥,15.95,16.1,15.55,15.8,202,-84,0,0,5.96,94.03,100.0,-
2026-03-10,1201,味全,14.15,14.15,13.7,14.0,761,10,0,0,5.43,94.56,100.0,-
2026-03-10,1203,味王,39.7,39.7,38.7,38.75,23,-13,0,-2,1.66,98.33,100.0,-
2026-03-10,1210,大成,51.5,51.8,51.2,51.4,1284,147,-8,0,10.27,89.72,100.0,-
2026-03-10,1213,大飲,9.6,9.99,9.36,9.79,15,0,0,0,0.01,99.98,100.0,-
2026-03-10,1215,卜蜂,159.5,161.0,156.0,156.5,809,-254,-1,-32,42.12,57.87,100.0,-
2026-03-10,1216,統一,71.4,71.4,70.0,70.2,10722,-5574,105,419,32.66,67.33,100.0,-
2026-03-10,1217,愛之味,10.25,10.3,10.25,10.3,302,13,0,-1,8.39,91.6,100.0,-
2026-03-10,1218,泰山,18.1,18.4,18.05,18.2,1238,611,0,6,3.6,96.39,100.0,-
2026-03-10,1219,福壽,13.9,13.9,13.55,13.65,412,-69,0,-18,5.47,94.52,100.0,-
2026-03-10,1220,台榮,13.25,13.25,13.0,13.0,168,-34,0,-8,7.08,92.91,100.0,-
2026-03-10,1225,福懋油,33.7,34.45,31.5,32.05,1344,-64,0,-181,1.26,98.73,100.0,-
2026-03-10,1227,佳格,29.5,29.75,29.4,29.55,554,181,0,-12,5.92,94.07,100.0,-
2026-03-10,1229,聯華,44.75,44.75,43.65,44.1,1539,-53,0,-9,9.44,90.55,100.0,-
2026-03-10,1231,聯華食,82.0,84.0,82.0,83.5,254,52,0,-2,2.72,97.27,100.0,-
2026-03-10,1232,大統益,150.0,151.0,149.5,150.5,113,6,0,-30,2.47,97.52,100.0,-
2026-03-10,1233,天仁,31.6,32.65,31.6,32.2,11,-2,0,4,5.54,94.45,100.0,-
2026-03-10,1234,黑松,36.2,36.45,36.0,36.35,207,-15,0,0,4.78,95.21,100.0,-
2026-03-10,1235,興泰,40.6,40.6,38.0,38.1,31,-13,0,0,0.2,99.79,100.0,-
2026-03-10,1236,宏亞,27.65,28.3,27.65,28.0,118,12,0,1,0.48,99.51,100.0,-
2026-03-10,1240,茂生農經,59.0,59.4,58.5,59.0,116,-4,0,0,3.61,96.38,100.0,-
2026-03-10,1256,鮮活果汁-KY,164.0,166.0,161.0,164.0,47,-3,0,-2,4.45,95.54,100.0,-
2026-03-10,1259,安心,60.5,66.0,60.5,65.0,18,6,0,0,26.12,73.87,100.0,-
2026-03-10,1260,富味鄉,21.93,22.1,21.65,21.65,43,0,0,0,0.0,0.0,0.0,-
2026-03-10,1264,德麥,278.0,278.5,277.0,278.5,31,2,0,0,1.49,98.5,100.0,-
2026-03-10,1268,漢來美食,160.0,160.0,158.5,158.5,11,-1,0,0,1.61,98.38,100.0,-
2026-03-10,1269,乾杯,61.68,63.6,58.7,63.6,13,0,0,0,0.0,0.0,0.0,-
2026-03-10,1271,晨暉生技,51.58,52.7,51.4,51.6,10,0,0,0,0.0,0.0,0.0,-
2026-03-10,1293,利統,28.5,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,-
2026-03-10,1294,漢田生技,90.5,94.0,89.9,90.0,215,-4,0,0,0.45,99.54,100.0,-
2026-03-10,1295,生合,72.9,74.0,71.3,72.5,47,-12,0,0,2.86,97.13,100.0,-
2026-03-10,1301,台塑,47.2,48.3,46.2,46.5,42865,-3646,-2694,382,29.13,70.86,100.0,-
2026-03-10,1303,南亞,76.8,79.0,75.6,77.7,74723,10464,200,229,31.8,68.19,100.0,-
2026-03-10,1304,台聚,12.8,13.2,12.45,12.75,24753,-96,0,-86,28.73,71.26,100.0,-
2026-03-10,1305,華夏,13.0,13.25,12.65,12.85,14430,-114,0,45,4.27,95.72,100.0,-
2026-03-10,1307,三芳,33.75,34.05,33.1,33.75,1683,373,-2,9,6.92,93.07,100.0,-
2026-03-10,1308,亞聚,14.6,14.65,14.15,14.55,12347,189,0,27,5.11,94.88,100.0,-
2026-03-10,1309,台達化,13.8,14.8,13.8,14.0,14581,-458,0,-142,2.0,97.99,100.0,-
2026-03-10,1310,台苯,10.7,11.4,10.45,11.1,24248,1063,0,13,6.59,93.4,100.0,-
2026-03-10,1312,國喬,13.3,13.9,12.9,13.55,31660,2114,0,-997,6.23,93.76,100.0,-
2026-03-10,1313,聯成,12.5,12.8,12.05,12.45,28719,-551,0,43,6.34,93.65,100.0,-
2026-03-10,1314,中石化,8.83,9.2,8.83,8.96,203923,-37347,0,-1225,10.81,89.18,100.0,-
2026-03-10,1315,達新,62.8,67.0,62.1,64.5,57,-20,0,-1,1.2,98.79,100.0,-
2026-03-10,1316,上曜,12.8,12.95,12.75,12.85,1421,580,0,-13,3.69,96.3,100.0,-
2026-03-10,1319,東陽,90.3,90.5,87.0,87.6,2576,-708,0,-66,12.77,87.22,100.0,-
2026-03-10,1321,大洋,33.1,33.75,32.95,33.7,163,41,0,-1,7.03,92.96,100.0,-
2026-03-10,1323,永裕,18.6,18.6,18.45,18.6,72,-7,0,0,1.65,98.34,100.0,-
2026-03-10,1324,地球,10.45,10.55,10.4,10.45,67,-16,0,0,0.63,99.36,100.0,-
2026-03-10,1325,恆大,26.85,27.45,26.85,27.2,155,40,0,1,1.44,98.55,100.0,-
2026-03-10,1326,台化,43.5,44.65,42.55,44.25,36177,8293,0,303,34.57,65.42,100.0,-
2026-03-10,1336,台翰,14.9,14.9,14.45,14.45,121,0,0,0,4.28,95.71,100.0,-
2026-03-10,1337,再生-KY,6.16,6.18,5.68,5.71,2667,-100,0,-3,25.09,74.9,100.0,-
2026-03-10,1338,廣華-KY,15.8,16.3,15.65,15.75,181,44,0,-3,6.23,93.76,100.0,-
2026-03-10,1339,昭輝,40.75,41.6,40.75,41.45,60,3,0,0,0.89,99.1,100.0,-
2026-03-10,1340,勝悅-KY,7.34,7.34,7.03,7.24,304,3,0,0,27.11,72.88,100.0,-
2026-03-10,1341,富林-KY,58.3,60.0,56.5,60.0,26,-5,0,0,79.82,20.17,100.0,-
2026-03-10,1342,八貫,96.0,96.4,94.4,94.9,648,-480,0,5,28.59,71.4,100.0,-
2026-03-10,1343,旭東環保,28.02,30.45,28.3,30.45,53,0,0,0,0.0,0.0,0.0,-
2026-03-10,1402,遠東新,28.7,28.85,28.45,28.6,8233,-176,41,-21,19.8,80.19,100.0,-
2026-03-10,1409,新纖,15.1,15.2,14.95,15.05,3682,-241,-6,-18,12.91,87.08,100.0,-
2026-03-10,1410,南染,32.0,32.45,31.6,31.7,71,-15,0,0,18.68,81.31,100.0,-
2026-03-10,1413,宏洲,9.57,9.89,9.57,9.89,5,-2,0,0,0.38,99.61,100.0,-
2026-03-10,1414,東和,20.95,20.95,20.3,20.5,236,-44,0,32,1.29,98.7,100.0,-
2026-03-10,1416,廣豐,11.55,11.55,11.35,11.4,205,-76,0,-8,5.84,94.15,100.0,-
2026-03-10,1417,嘉裕,8.66,8.72,8.55,8.59,89,-13,0,-3,0.89,99.1,100.0,-
2026-03-10,1418,東華,18.65,18.65,18.6,18.65,4,1,0,0,0.92,99.07,100.0,-
2026-03-10,1419,新紡,63.8,63.8,62.5,63.4,92,5,0,4,1.24,98.75,100.0,-
2026-03-10,1423,利華,38.5,39.15,38.45,38.8,191,6,0,-2,1.42,98.57,100.0,-
2026-03-10,1432,大魯閣,16.8,16.8,16.45,16.8,508,-25,0,1,0.44,99.55,100.0,-
2026-03-10,1434,福懋,17.15,17.15,16.6,16.7,2965,-1591,0,-34,7.96,92.03,100.0,-
2026-03-10,1435,中福,19.65,19.7,19.6,19.6,5,0,0,0,0.22,99.77,100.0,-
2026-03-10,1436,華友聯,53.9,54.2,52.5,53.2,273,-54,0,0,4.42,95.57,100.0,-
2026-03-10,1437,勤益控,31.5,31.7,30.8,30.85,68,-29,0,-12,8.11,91.88,100.0,-
2026-03-10,1438,三地開發,29.4,30.4,29.4,30.0,34,1,0,3,0.35,99.64,100.0,-
2026-03-10,1439,雋揚,26.95,27.8,26.8,27.05,59,-8,0,-3,0.32,99.67,100.0,-
2026-03-10,1440,南紡,12.85,12.85,12.7,12.8,925,97,0,-12,7.65,92.34,100.0,-
2026-03-10,1441,大東,9.93,10.0,9.93,10.0,12,-2,0,0,1.23,98.76,100.0,-
2026-03-10,1442,名軒,26.35,26.7,26.0,26.55,317,-37,0,-5,11.37,88.62,100.0,-
2026-03-10,1443,立益,24.75,25.75,24.75,24.95,87,-10,0,0,0.22,99.77,100.0,-
