date,stock_id,stock_name,open,high,low,close,volume,day_trading_volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio
2026-06-08,0050,元大台灣50,98.05,101.3,98.05,100.95,524952,42491,-113325,8432,-95590,5.24,94.75,100.0
2026-06-08,0051,元大中型100,139.95,139.95,133.0,137.25,238,12,-6,0,-134,0.5,99.49,100.0
2026-06-08,0052,富邦科技,57.25,59.25,57.25,58.85,72781,15776,5705,368,-23251,1.93,98.06,100.0
2026-06-08,0053,元大電子,228.6,231.8,225.0,230.9,97,2,3,0,-26,1.26,98.73,100.0
2026-06-08,0055,元大MSCI金融,37.34,38.32,37.34,38.15,1454,345,-6,0,-153,0.94,99.05,100.0
2026-06-08,0056,元大高股息,47.67,49.45,47.64,49.45,126733,25901,-21558,500,-12898,0.74,99.25,100.0
2026-06-08,0057,富邦摩台,293.9,299.5,293.25,298.4,15,0,0,0,-8,6.81,93.18,100.0
2026-06-08,0061,元大寶滬深,24.3,24.58,24.25,24.25,278,2,51,0,-49,5.12,94.87,100.0
2026-06-08,1101,台泥,23.85,24.0,23.55,23.85,51860,10604,-28957,230,-1262,14.54,85.45,100.0
2026-06-08,1102,亞泥,33.7,34.0,33.5,33.75,17810,3859,-8408,89,46,12.66,87.33,100.0
2026-06-08,1103,嘉泥,13.3,13.35,13.1,13.2,419,105,86,0,-10,4.55,95.44,100.0
2026-06-08,1104,環泥,28.5,29.1,28.4,28.9,1763,360,-527,0,54,15.16,84.83,100.0
2026-06-08,1108,幸福,13.6,13.7,13.55,13.6,355,73,-43,0,4,1.3,98.69,100.0
2026-06-08,1109,信大,14.45,14.75,14.45,14.6,150,12,-33,0,0,2.33,97.66,100.0
2026-06-08,1110,東泥,15.5,15.5,15.15,15.4,399,64,-83,0,0,5.81,94.18,100.0
2026-06-08,1201,味全,12.1,12.4,12.1,12.3,453,110,102,0,0,5.03,94.96,100.0
2026-06-08,1203,味王,42.2,42.85,42.2,42.35,9,1,-5,0,3,1.73,98.26,100.0
2026-06-08,1210,大成,53.5,54.7,53.2,54.0,9444,3289,-3955,4974,20,9.4,90.59,100.0
2026-06-08,1213,大飲,8.42,8.43,8.42,8.43,2,0,0,0,0,0.01,99.98,100.0
2026-06-08,1215,卜蜂,116.0,117.5,114.0,115.0,4304,1255,826,-1700,1,36.9,63.09,100.0
2026-06-08,1216,統一,73.1,74.0,72.4,72.9,12796,5024,216,144,323,31.4,68.59,100.0
2026-06-08,1217,愛之味,9.87,9.9,9.74,9.86,882,189,110,0,-1,7.91,92.08,100.0
2026-06-08,1218,泰山,19.0,19.45,18.9,19.4,1516,330,458,0,19,4.21,95.78,100.0
2026-06-08,1219,福壽,12.25,12.45,12.15,12.45,719,115,7,0,3,5.51,94.48,100.0
2026-06-08,1220,台榮,11.85,11.85,11.65,11.75,106,10,-21,0,0,7.1,92.89,100.0
2026-06-08,1225,福懋油,28.7,30.6,28.6,30.35,785,107,-8,0,43,1.4,98.59,100.0
2026-06-08,1227,佳格,28.4,28.6,28.1,28.3,3878,933,1175,0,13,6.19,93.8,100.0
2026-06-08,1229,聯華,40.0,41.1,40.0,40.95,3512,617,470,-6,41,8.95,91.04,100.0
2026-06-08,1231,聯華食,87.1,87.7,86.0,86.7,466,81,-58,0,8,2.83,97.16,100.0
2026-06-08,1232,大統益,148.0,149.5,147.5,148.0,216,52,-40,0,-2,2.52,97.47,100.0
2026-06-08,1233,天仁,27.1,27.4,27.0,27.4,27,3,-6,0,1,5.66,94.33,100.0
2026-06-08,1234,黑松,34.9,34.95,34.5,34.5,270,49,-10,0,-3,4.73,95.26,100.0
2026-06-08,1235,興泰,37.55,38.7,36.55,37.6,55,13,-16,0,3,0.26,99.73,100.0
2026-06-08,1236,宏亞,24.75,25.6,24.75,25.6,55,13,-5,0,-2,0.49,99.5,100.0
2026-06-08,1240,茂生農經,57.3,57.3,57.0,57.3,13,0,-4,0,0,3.66,96.33,100.0
2026-06-08,1256,鮮活果汁-KY,172.5,179.0,171.0,176.5,206,88,-1,0,5,4.66,95.33,100.0
2026-06-08,1259,安心,58.5,58.5,58.0,58.0,5,0,-2,0,0,26.13,73.86,100.0
2026-06-08,1260,富味鄉,23.65,24.0,21.9,23.9,50,0,-2,0,0,0.0,0.0,0.0
2026-06-08,1264,德麥,270.0,270.0,266.0,267.5,52,3,8,0,0,1.71,98.28,100.0
2026-06-08,1268,漢來美食,165.0,167.5,165.0,167.5,26,5,2,0,0,1.68,98.31,100.0
2026-06-08,1269,乾杯,66.52,66.3,63.6,66.2,10,0,-1,0,0,0.0,0.0,0.0
2026-06-08,1271,晨暉生技,59.65,68.3,57.0,68.3,541,0,30,0,0,0.0,0.0,0.0
2026-06-08,1293,利統,27.99,27.5,26.8,27.3,3,0,0,0,0,0.0,0.0,0.0
2026-06-08,1294,漢田生技,77.5,78.5,76.6,77.5,41,11,0,0,0,0.68,99.31,100.0
2026-06-08,1295,生合,47.3,48.5,47.3,47.95,86,19,-26,0,0,2.21,97.78,100.0
2026-06-08,1301,台塑,45.5,46.1,45.15,45.85,32845,9839,-13070,-2,-306,30.63,69.36,100.0
2026-06-08,1303,南亞,96.1,98.9,95.2,97.5,55665,27366,4638,1851,-1474,34.55,65.44,100.0
2026-06-08,1304,台聚,12.65,12.85,12.5,12.8,5356,2414,95,0,-51,28.29,71.7,100.0
2026-06-08,1305,華夏,12.5,12.85,12.25,12.6,3247,1542,27,0,0,4.48,95.51,100.0
2026-06-08,1307,三芳,32.65,34.8,32.6,34.55,2049,538,560,-14,110,7.33,92.66,100.0
2026-06-08,1308,亞聚,13.05,13.55,13.05,13.4,2224,901,544,0,15,4.3,95.69,100.0
2026-06-08,1309,台達化,15.0,15.65,14.9,15.25,6187,2739,261,0,-8,2.82,97.17,100.0
2026-06-08,1310,台苯,8.49,8.81,8.39,8.74,3197,1337,130,0,55,4.81,95.18,100.0
2026-06-08,1312,國喬,13.5,14.2,13.45,13.65,17866,5859,-24,0,-74,3.19,96.8,100.0
2026-06-08,1313,聯成,10.75,11.1,10.55,10.9,5454,2147,457,0,83,5.41,94.58,100.0
2026-06-08,1314,中石化,7.64,8.04,7.63,7.94,36546,14895,3763,0,99,8.88,91.11,100.0
2026-06-08,1315,達新,61.0,62.0,60.4,61.2,84,12,-15,0,-1,1.27,98.72,100.0
2026-06-08,1316,上曜,10.05,10.5,10.05,10.45,2493,757,776,0,6,4.98,95.01,100.0
2026-06-08,1319,東陽,93.0,97.8,93.0,97.8,8704,3303,-995,3354,-57,6.58,93.41,100.0
2026-06-08,1321,大洋,29.45,29.45,28.6,29.0,219,81,-75,0,-1,6.85,93.14,100.0
2026-06-08,1323,永裕,20.0,20.0,19.7,19.85,71,10,-14,0,3,1.25,98.74,100.0
2026-06-08,1324,地球,10.55,10.55,10.25,10.4,46,6,1,0,0,0.9,99.09,100.0
2026-06-08,1325,恆大,26.0,26.8,25.45,26.35,831,224,274,0,0,1.71,98.28,100.0
2026-06-08,1326,台化,49.65,50.7,48.0,48.75,29772,9330,-11603,-1,-881,37.7,62.29,100.0
2026-06-08,1336,台翰,13.65,13.7,13.15,13.7,133,37,16,0,0,3.3,96.69,100.0
2026-06-08,1337,再生-KY,4.92,5.05,4.8,5.02,557,159,-2,0,0,25.89,74.1,100.0
2026-06-08,1338,廣華-KY,17.25,17.25,16.15,16.55,378,72,-6,0,-5,6.9,93.09,100.0
2026-06-08,1339,昭輝,41.85,43.0,41.85,42.7,210,39,47,0,-1,1.11,98.88,100.0
2026-06-08,1340,勝悅-KY,5.84,5.84,5.36,5.56,494,162,-32,0,0,26.34,73.65,100.0
2026-06-08,1341,富林-KY,63.1,63.1,61.4,62.7,6,0,-1,0,0,79.91,20.08,100.0
2026-06-08,1342,八貫,101.5,113.5,101.0,112.0,5868,3012,-478,0,6,30.51,69.48,100.0
2026-06-08,1343,旭東環保,19.36,19.9,18.6,19.9,28,0,4,0,0,0.0,0.0,0.0
2026-06-08,1402,遠東新,26.7,27.05,26.4,26.75,67921,18922,-35828,25058,-777,16.3,83.69,100.0
2026-06-08,1409,新纖,24.35,25.0,23.55,24.8,25157,0,-162,-6,-28,14.26,85.73,100.0
2026-06-08,1410,南染,25.65,25.95,25.5,25.75,36,15,-14,0,0,18.93,81.06,100.0
