date,stock_id,stock_name,open,high,low,close,volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio
2026-05-29,0050,元大台灣50,103.2,105.4,102.7,105.4,102355,15009,5310,7410,4.13,95.86,100.0
2026-05-29,0051,元大中型100,140.0,141.9,139.95,141.9,76,9,0,3,0.51,99.48,100.0
2026-05-29,0052,富邦科技,60.95,61.6,60.55,61.5,33405,2900,0,5634,2.6,97.39,100.0
2026-05-29,0053,元大電子,240.8,242.0,239.05,241.2,28,2,0,0,1.36,98.63,100.0
2026-05-29,0055,元大MSCI金融,35.03,35.19,34.79,35.09,656,203,0,192,1.1,98.89,100.0
2026-05-29,0056,元大高股息,49.69,50.25,49.5,50.2,58208,20836,100,14481,0.96,99.03,100.0
2026-05-29,0057,富邦摩台,306.95,309.6,306.35,309.6,80,0,0,0,6.88,93.11,100.0
2026-05-29,0061,元大寶滬深,24.98,25.28,24.98,25.2,728,269,0,377,5.27,94.72,100.0
2026-05-29,1101,台泥,24.1,24.4,23.9,24.4,49699,15019,31,-159,14.97,85.02,100.0
2026-05-29,1102,亞泥,32.6,34.0,32.6,34.0,205245,3323,-689,-224,14.7,85.29,100.0
2026-05-29,1103,嘉泥,13.25,13.45,13.2,13.45,411,132,0,4,4.53,95.46,100.0
2026-05-29,1104,環泥,27.2,27.6,27.2,27.45,733,35,-2,1,15.32,84.67,100.0
2026-05-29,1108,幸福,13.6,13.75,13.6,13.7,280,57,0,1,1.24,98.75,100.0
2026-05-29,1109,信大,14.45,14.6,14.45,14.6,109,39,0,3,2.27,97.72,100.0
2026-05-29,1110,東泥,14.1,14.6,14.1,14.6,267,125,0,-1,5.87,94.12,100.0
2026-05-29,1201,味全,12.0,12.25,12.0,12.1,315,74,0,1,5.04,94.95,100.0
2026-05-29,1203,味王,43.0,44.0,43.0,43.55,22,17,0,0,1.73,98.26,100.0
2026-05-29,1210,大成,51.9,52.6,51.7,52.6,2674,655,-10,-21,11.84,88.15,100.0
2026-05-29,1213,大飲,8.41,8.41,8.17,8.31,16,0,0,0,0.01,99.98,100.0
2026-05-29,1215,卜蜂,128.0,128.0,123.5,125.0,2527,-294,-9,-105,35.0,64.99,100.0
2026-05-29,1216,統一,71.6,73.1,70.8,71.8,38842,-5961,7893,-153,31.78,68.21,100.0
2026-05-29,1217,愛之味,9.72,9.74,9.62,9.72,502,45,0,3,7.52,92.47,100.0
2026-05-29,1218,泰山,18.65,18.85,18.6,18.75,914,142,0,2,3.8,96.19,100.0
2026-05-29,1219,福壽,12.5,12.65,12.5,12.65,333,-37,0,-4,5.52,94.47,100.0
2026-05-29,1220,台榮,11.75,11.8,11.65,11.65,132,11,0,1,7.07,92.92,100.0
2026-05-29,1225,福懋油,29.55,29.55,29.2,29.25,99,-25,0,0,1.34,98.65,100.0
2026-05-29,1227,佳格,28.0,28.25,27.85,27.95,1491,17,-1,4,5.46,94.53,100.0
2026-05-29,1229,聯華,39.5,40.2,39.4,39.9,3503,705,-2,9,8.96,91.03,100.0
2026-05-29,1231,聯華食,84.8,86.0,84.8,85.5,396,212,-1,-1,2.71,97.28,100.0
2026-05-29,1232,大統益,148.0,148.5,147.5,147.5,114,1,0,1,2.55,97.44,100.0
2026-05-29,1233,天仁,27.6,28.0,27.6,28.0,1081,13,0,-1056,5.67,94.32,100.0
2026-05-29,1234,黑松,34.35,34.55,34.25,34.4,151,11,0,-7,4.71,95.28,100.0
2026-05-29,1235,興泰,39.8,41.1,39.25,41.1,25,16,0,1,0.26,99.73,100.0
2026-05-29,1236,宏亞,24.45,24.5,24.4,24.4,21,6,0,-4,0.47,99.52,100.0
2026-05-29,1240,茂生農經,57.6,57.6,57.3,57.3,2,0,0,0,3.66,96.33,100.0
2026-05-29,1256,鮮活果汁-KY,206.5,212.5,200.5,205.5,356,-43,0,-6,4.81,95.18,100.0
2026-05-29,1259,安心,57.9,58.4,56.8,58.4,9,0,0,0,26.12,73.87,100.0
2026-05-29,1260,富味鄉,23.92,24.5,23.4,24.5,35,2,0,0,0.0,0.0,0.0
2026-05-29,1264,德麥,271.5,272.0,270.5,270.5,43,0,0,-5,1.7,98.29,100.0
2026-05-29,1268,漢來美食,168.0,168.5,167.5,168.5,22,4,0,0,1.61,98.38,100.0
2026-05-29,1269,乾杯,67.79,69.7,67.8,69.7,3,0,0,0,0.0,0.0,0.0
2026-05-29,1271,晨暉生技,60.74,60.8,59.1,59.8,183,0,0,0,0.0,0.0,0.0
2026-05-29,1293,利統,26.96,27.6,26.9,27.6,1,0,0,0,0.0,0.0,0.0
2026-05-29,1294,漢田生技,77.3,77.9,77.2,77.9,10,-2,0,0,0.69,99.3,100.0
2026-05-29,1295,生合,50.3,50.4,49.95,50.0,57,-12,0,0,2.13,97.86,100.0
2026-05-29,1301,台塑,45.45,47.9,45.45,47.45,45838,11789,-6,761,30.54,69.45,100.0
2026-05-29,1303,南亞,92.0,98.6,91.9,98.1,150486,59319,2301,2193,34.14,65.85,100.0
2026-05-29,1304,台聚,12.1,12.25,11.95,12.2,8082,1147,0,-45,28.12,71.87,100.0
2026-05-29,1305,華夏,12.25,12.55,12.1,12.3,4061,685,0,16,4.33,95.66,100.0
2026-05-29,1307,三芳,30.8,31.4,30.8,31.15,794,83,-19,0,6.59,93.4,100.0
2026-05-29,1308,亞聚,13.0,13.2,12.95,13.1,3054,679,0,-6,4.18,95.81,100.0
2026-05-29,1309,台達化,15.8,16.05,15.4,15.7,11799,305,0,-51,3.11,96.88,100.0
2026-05-29,1310,台苯,8.05,8.08,7.93,8.04,4309,-485,0,-9,4.35,95.64,100.0
2026-05-29,1312,國喬,11.0,11.7,10.55,11.35,25578,-4582,0,73,3.75,96.24,100.0
2026-05-29,1313,聯成,10.6,10.8,10.5,10.7,3682,1034,0,-2,5.94,94.05,100.0
2026-05-29,1314,中石化,7.11,7.12,7.02,7.04,18071,-1077,0,2,8.8,91.19,100.0
2026-05-29,1315,達新,61.8,62.0,61.6,61.6,34,-7,0,0,1.25,98.74,100.0
2026-05-29,1316,上曜,10.3,10.4,10.1,10.1,2044,-24,0,-11,4.41,95.58,100.0
2026-05-29,1319,東陽,95.1,95.1,91.8,95.1,11135,-1229,-395,-347,7.14,92.85,100.0
2026-05-29,1321,大洋,29.05,29.05,28.55,28.85,349,-7,0,12,6.8,93.19,100.0
2026-05-29,1323,永裕,20.15,20.25,20.05,20.1,47,22,0,0,1.31,98.68,100.0
2026-05-29,1324,地球,10.25,10.35,10.2,10.3,83,-1,0,0,0.84,99.15,100.0
2026-05-29,1325,恆大,27.2,27.3,27.0,27.0,302,43,0,0,1.24,98.75,100.0
2026-05-29,1326,台化,45.95,49.9,45.8,49.9,67387,30567,-7,921,37.22,62.77,100.0
2026-05-29,1336,台翰,13.2,13.35,13.15,13.25,87,17,0,0,3.34,96.65,100.0
2026-05-29,1337,再生-KY,4.76,4.83,4.75,4.82,695,148,0,0,25.95,74.04,100.0
2026-05-29,1338,廣華-KY,16.3,16.8,16.05,16.35,434,74,0,-2,6.4,93.59,100.0
2026-05-29,1339,昭輝,47.5,47.5,45.5,45.6,1599,-185,0,-6,0.9,99.09,100.0
2026-05-29,1340,勝悅-KY,5.57,5.57,5.42,5.48,185,19,0,-13,26.31,73.68,100.0
2026-05-29,1341,富林-KY,61.6,61.6,60.8,60.8,13,4,0,0,79.89,20.1,100.0
2026-05-29,1342,八貫,91.7,92.4,91.0,91.6,215,79,0,1,30.0,69.99,100.0
2026-05-29,1343,旭東環保,20.39,20.55,19.7,20.55,40,-1,0,0,0.0,0.0,0.0
