date,stock_id,stock_name,open,high,low,close,volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio,macd_status
2026-02-23,50,元大台灣50,78.45,78.45,77.2,77.4,227936,-61521,7700,-68942,3.01,96.98,100.0,-
2026-02-23,51,元大中型100,106.95,109.25,106.95,108.3,193,0,0,6,0.57,99.42,100.0,-
2026-02-23,52,富邦科技,46.71,46.71,45.8,45.8,94785,-9875,508,-51994,0.93,99.06,100.0,-
2026-02-23,53,元大電子,171.0,172.5,170.5,170.5,29,-4,0,-17,1.27,98.72,100.0,-
2026-02-23,55,元大MSCI金融,33.6,34.47,33.6,34.2,575,36,0,-52,0.65,99.34,100.0,-
2026-02-23,56,元大高股息,38.97,39.51,38.97,39.13,101966,5180,0,48914,0.58,99.41,100.0,-
2026-02-23,57,富邦摩台,229.85,230.85,228.8,229.3,7,0,0,-1,4.26,95.73,100.0,-
2026-02-23,61,元大寶滬深,23.68,23.88,23.64,23.74,330,94,0,25,6.01,93.98,100.0,-
2026-02-23,1101,台泥,25.95,26.3,25.7,26.1,30552,4472,-10,791,18.3,81.69,100.0,-
2026-02-23,1102,亞泥,36.1,36.1,35.4,35.5,10809,164,-1398,-693,16.91,83.08,100.0,-
2026-02-23,1103,嘉泥,14.15,14.25,14.0,14.15,522,174,0,5,4.55,95.44,100.0,-
2026-02-23,1104,環泥,30.45,30.45,29.9,29.95,1244,-45,0,-2,16.27,83.72,100.0,-
2026-02-23,1108,幸福,15.15,15.2,15.05,15.2,347,143,0,6,1.32,98.67,100.0,-
2026-02-23,1109,信大,15.45,15.65,15.35,15.65,256,90,0,5,2.34,97.65,100.0,-
2026-02-23,1110,東泥,16.6,16.7,16.45,16.55,251,132,0,0,6.0,93.99,100.0,-
2026-02-23,1201,味全,14.55,14.6,14.45,14.6,476,225,0,6,5.5,94.49,100.0,-
2026-02-23,1203,味王,41.75,41.75,40.65,41.4,66,49,0,1,1.65,98.34,100.0,-
2026-02-23,1210,大成,51.8,52.0,51.4,51.6,2351,557,-233,-1,10.19,89.8,100.0,-
2026-02-23,1213,大飲,10.0,10.1,9.99,10.0,12,0,0,0,0.01,99.98,100.0,-
2026-02-23,1215,卜蜂,148.5,149.0,145.5,148.5,1378,-232,37,-8,41.71,58.28,100.0,-
2026-02-23,1216,統一,75.4,76.0,74.5,75.1,20495,10489,-1948,-574,33.01,66.98,100.0,-
2026-02-23,1217,愛之味,10.55,10.75,10.55,10.7,1149,670,0,6,8.55,91.44,100.0,-
2026-02-23,1218,泰山,18.3,18.5,18.25,18.35,793,339,0,5,3.24,96.75,100.0,-
2026-02-23,1219,福壽,13.6,13.7,13.5,13.65,551,161,0,23,5.49,94.5,100.0,-
2026-02-23,1220,台榮,13.1,13.15,12.95,13.15,270,62,0,2,7.07,92.92,100.0,-
2026-02-23,1225,福懋油,29.3,29.3,28.9,29.0,386,57,0,4,1.51,98.48,100.0,-
2026-02-23,1227,佳格,29.65,30.4,29.65,30.25,3066,2016,0,16,5.87,94.12,100.0,-
2026-02-23,1229,聯華,45.45,45.55,44.8,45.0,2743,-368,0,-5,9.47,90.52,100.0,-
2026-02-23,1231,聯華食,93.5,93.9,91.6,91.8,875,-132,0,3,2.64,97.35,100.0,-
2026-02-23,1232,大統益,151.0,152.0,150.0,151.0,246,70,0,4,2.34,97.65,100.0,-
2026-02-23,1233,天仁,32.0,32.45,31.25,32.3,60,24,0,20,5.55,94.44,100.0,-
2026-02-23,1234,黑松,36.9,37.5,36.9,37.4,206,125,0,16,4.83,95.16,100.0,-
2026-02-23,1235,興泰,42.15,45.0,42.15,44.35,99,33,0,2,0.2,99.79,100.0,-
2026-02-23,1236,宏亞,26.2,26.25,26.0,26.2,59,13,0,6,0.43,99.56,100.0,-
2026-02-23,1240,茂生農經,60.0,60.0,59.8,60.0,13,2,0,0,3.63,96.36,100.0,-
2026-02-23,1256,鮮活果汁-KY,159.5,159.5,154.5,159.0,59,15,0,4,4.33,95.66,100.0,-
2026-02-23,1259,安心,0.0,0.0,0.0,0.0,0,0,0,0,26.12,73.87,100.0,-
2026-02-23,1260,富味鄉,21.08,22.35,20.75,22.35,131,0,0,0,0.0,0.0,0.0,-
2026-02-23,1264,德麥,284.0,284.0,282.5,284.0,19,-4,0,0,1.51,98.48,100.0,-
2026-02-23,1268,漢來美食,162.0,162.5,161.0,161.5,30,1,0,0,1.61,98.38,100.0,-
2026-02-23,1269,乾杯,68.39,69.3,66.1,69.3,0,0,0,0,0.0,0.0,0.0,-
2026-02-23,1271,晨暉生技,57.7,58.9,57.2,57.5,99,0,0,0,0.0,0.0,0.0,-
2026-02-23,1293,利統,28.5,28.5,27.3,28.5,18,0,0,0,0.0,0.0,0.0,-
2026-02-23,1294,漢田生技,80.0,80.0,77.6,80.0,59,4,0,0,0.48,99.51,100.0,-
2026-02-23,1295,生合,78.5,79.4,77.0,77.6,86,4,0,0,2.49,97.5,100.0,-
2026-02-23,1301,台塑,47.1,47.4,46.4,47.05,25903,1006,-14,1004,29.27,70.72,100.0,-
2026-02-23,1303,南亞,82.5,85.2,80.1,83.6,158358,18670,4769,2853,31.61,68.38,100.0,-
2026-02-23,1304,台聚,11.85,12.05,11.65,11.95,4819,1530,0,162,29.01,70.98,100.0,-
2026-02-23,1305,華夏,11.9,12.15,11.85,11.85,1791,498,0,16,4.94,95.05,100.0,-
2026-02-23,1307,三芳,33.45,34.1,33.0,34.0,2681,1214,0,49,7.51,92.48,100.0,-
2026-02-23,1308,亞聚,13.55,13.85,13.4,13.8,1721,632,0,31,5.75,94.24,100.0,-
2026-02-23,1309,台達化,12.0,12.35,12.0,12.2,1263,429,0,-1,2.31,97.68,100.0,-
2026-02-23,1310,台苯,9.01,9.09,8.96,9.03,2308,843,0,9,7.67,92.32,100.0,-
2026-02-23,1312,國喬,13.1,13.3,12.75,12.9,7940,-2081,0,25,6.34,93.65,100.0,-
2026-02-23,1313,聯成,10.65,11.0,10.55,10.8,4132,1878,0,22,7.77,92.22,100.0,-
2026-02-23,1314,中石化,7.97,8.26,7.88,8.21,47450,19599,0,888,11.38,88.61,100.0,-
2026-02-23,1315,達新,65.3,65.9,64.9,65.4,44,19,0,0,1.19,98.8,100.0,-
2026-02-23,1316,上曜,13.9,14.1,13.75,14.05,2059,200,0,4,3.82,96.17,100.0,-
2026-02-23,1319,東陽,104.0,106.5,101.5,102.5,2972,99,-341,-82,12.69,87.3,100.0,-
2026-02-23,1321,大洋,33.5,33.75,33.25,33.4,243,44,0,1,7.03,92.96,100.0,-
2026-02-23,1323,永裕,18.7,18.75,18.6,18.75,57,31,0,1,1.67,98.32,100.0,-
2026-02-23,1324,地球,10.95,10.95,10.6,10.8,87,8,0,0,0.69,99.3,100.0,-
2026-02-23,1325,恆大,30.25,30.25,29.25,29.5,702,-63,0,0,1.31,98.68,100.0,-
2026-02-23,1326,台化,43.35,44.0,42.4,43.25,39240,4810,-18,706,34.63,65.36,100.0,-
2026-02-23,1336,台翰,15.65,15.75,15.6,15.7,48,10,0,0,4.25,95.74,100.0,-
2026-02-23,1337,再生-KY,5.09,5.32,5.09,5.27,734,79,0,0,25.18,74.81,100.0,-
2026-02-23,1338,廣華-KY,19.2,19.3,19.0,19.2,105,55,0,0,6.01,93.98,100.0,-
2026-02-23,1339,昭輝,43.55,43.9,43.35,43.85,37,10,0,4,0.93,99.06,100.0,-
2026-02-23,1340,勝悅-KY,7.16,7.2,7.02,7.11,294,5,0,0,27.2,72.79,100.0,-
2026-02-23,1341,富林-KY,62.4,62.4,61.5,61.9,37,9,0,0,79.83,20.16,100.0,-
2026-02-23,1342,八貫,102.0,103.0,101.0,102.0,840,276,0,2,29.41,70.58,100.0,-
2026-02-23,1343,旭東環保,26.7,27.3,25.65,26.5,47,0,0,0,0.0,0.0,0.0,-
2026-02-23,1402,遠東新,28.65,28.7,27.95,28.2,16713,1370,-3654,69,19.84,80.15,100.0,-
2026-02-23,1409,新纖,15.4,15.75,15.3,15.6,7024,3629,0,277,12.86,87.13,100.0,-
2026-02-23,1410,南染,33.2,33.95,33.15,33.8,32,9,0,0,18.71,81.28,100.0,-
2026-02-23,1413,宏洲,9.73,10.15,9.73,10.1,28,16,0,0,0.39,99.6,100.0,-
2026-02-23,1414,東和,20.05,20.05,19.65,19.85,285,-72,0,30,1.16,98.83,100.0,-
2026-02-23,1416,廣豐,11.8,11.8,11.6,11.75,228,42,0,1,5.93,94.06,100.0,-
2026-02-23,1417,嘉裕,8.82,8.83,8.74,8.82,161,37,0,1,0.89,99.1,100.0,-
2026-02-23,1418,東華,19.7,19.8,19.4,19.75,16,8,0,0,0.93,99.06,100.0,-
2026-02-23,1419,新紡,71.6,71.6,67.5,69.1,482,48,0,2,1.18,98.81,100.0,-
2026-02-23,1423,利華,38.35,38.4,37.95,38.3,36,15,0,0,1.44,98.55,100.0,-
2026-02-23,1432,大魯閣,19.15,19.35,19.15,19.35,690,249,0,0,1.59,98.4,100.0,-
2026-02-23,1434,福懋,17.85,17.95,17.6,17.7,3428,140,0,36,7.9,92.09,100.0,-
2026-02-23,1435,中福,22.55,23.0,22.25,23.0,25,20,0,0,0.2,99.79,100.0,-
2026-02-23,1436,華友聯,56.9,59.0,56.9,58.9,302,148,0,1,4.57,95.42,100.0,-
2026-02-23,1437,勤益控,32.4,32.7,32.25,32.7,95,31,0,-1,8.18,91.81,100.0,-
2026-02-23,1438,三地開發,32.1,34.6,31.85,34.6,99,28,0,-7,0.35,99.64,100.0,-
2026-02-23,1439,雋揚,29.95,30.45,29.8,30.45,17,15,0,0,0.41,99.58,100.0,-
2026-02-23,1440,南紡,13.4,13.45,13.25,13.4,2198,-412,0,20,7.76,92.23,100.0,-
2026-02-23,1441,大東,10.15,10.15,10.05,10.15,14,8,0,0,1.21,98.78,100.0,-
2026-02-23,1442,名軒,30.15,30.2,29.6,29.6,622,-138,0,8,11.91,88.08,100.0,-
2026-02-23,1443,立益,26.9,28.4,26.9,28.0,73,28,0,0,0.23,99.76,100.0,-
2026-02-23,1443,立益物流,26.9,28.4,26.9,28.0,73,28,0,0,0.23,99.76,100.0,-
2026-02-23,1444,力麗,6.29,6.37,6.27,6.35,820,108,0,4,4.98,95.01,100.0,-
2026-02-23,1445,大宇,15.3,15.3,14.95,15.0,72,7,0,3,2.84,97.15,100.0,-
2026-02-23,1446,宏和,16.45,16.65,16.3,16.6,285,154,0,0,6.44,93.55,100.0,-
2026-02-23,1447,力鵬,5.36,5.48,5.36,5.47,815,236,0,25,4.34,95.65,100.0,-
2026-02-23,1449,佳和,10.95,11.05,10.85,10.9,575,267,0,14,6.33,93.66,100.0,-
2026-02-23,1451,年興,18.05,18.05,17.8,18.05,388,30,0,2,5.91,94.08,100.0,-
