date,stock_id,stock_name,open,high,low,close,volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio,macd_status
2026-02-06,50,元大台灣50,71.4,72.25,70.8,71.9,110883,-26941,2100,-7653,2.61,97.38,100.0,-
2026-02-06,51,元大中型100,104.05,104.05,101.15,102.95,129,-15,0,-49,0.48,99.51,100.0,-
2026-02-06,52,富邦科技,42.36,42.99,42.09,42.71,35439,280,-87,-6753,0.72,99.27,100.0,-
2026-02-06,53,元大電子,157.6,158.7,156.0,158.7,14,2,0,2,1.35,98.64,100.0,-
2026-02-06,55,元大MSCI金融,32.4,32.44,32.07,32.33,106,-3,0,11,0.58,99.41,100.0,-
2026-02-06,56,元大高股息,37.44,37.6,37.09,37.52,40426,-2158,0,-2261,0.34,99.65,100.0,-
2026-02-06,57,富邦摩台,211.7,213.2,209.85,213.2,6,0,0,-2,4.09,95.9,100.0,-
2026-02-06,61,元大寶滬深,23.4,23.54,23.31,23.5,291,27,0,168,5.7,94.29,100.0,-
2026-02-06,1101,台泥,25.7,25.75,25.25,25.35,27178,-2049,0,-1699,18.16,81.83,100.0,-
2026-02-06,1102,亞泥,35.3,35.6,35.1,35.5,6913,133,-35,-29,16.73,83.26,100.0,-
2026-02-06,1103,嘉泥,13.9,13.9,13.75,13.85,318,-188,0,-8,4.52,95.47,100.0,-
2026-02-06,1104,環泥,29.5,29.55,29.2,29.5,388,-110,0,11,16.32,83.67,100.0,-
2026-02-06,1108,幸福,15.0,15.1,14.95,15.1,211,-1,0,0,1.27,98.72,100.0,-
2026-02-06,1109,信大,15.45,15.45,15.35,15.4,72,-3,0,-2,2.28,97.71,100.0,-
2026-02-06,1110,東泥,16.25,16.3,16.1,16.15,123,1,0,-2,5.95,94.04,100.0,-
2026-02-06,1201,味全,14.45,14.55,14.35,14.45,160,-18,0,15,5.45,94.54,100.0,-
2026-02-06,1203,味王,39.3,39.75,39.3,39.45,14,0,0,-1,1.62,98.37,100.0,-
2026-02-06,1210,大成,51.3,51.3,50.5,50.9,1730,-765,-6,-8,10.09,89.9,100.0,-
2026-02-06,1213,大飲,9.74,10.05,9.74,10.05,10,-1,0,0,0.01,99.98,100.0,-
2026-02-06,1215,卜蜂,148.5,148.5,145.5,147.0,816,-209,-2,-7,41.51,58.48,100.0,-
2026-02-06,1216,統一,73.3,74.2,73.0,74.2,8807,1832,191,168,32.83,67.16,100.0,-
2026-02-06,1217,愛之味,10.5,10.55,10.45,10.45,266,-88,0,-4,8.33,91.66,100.0,-
2026-02-06,1218,泰山,18.15,18.15,18.05,18.05,443,-128,0,3,3.21,96.78,100.0,-
2026-02-06,1219,福壽,13.55,13.6,13.5,13.55,180,8,0,-9,5.4,94.59,100.0,-
2026-02-06,1220,台榮,12.75,12.8,12.65,12.7,91,-7,0,0,7.02,92.97,100.0,-
2026-02-06,1225,福懋油,28.05,28.35,27.95,28.2,65,-13,0,0,1.41,98.58,100.0,-
2026-02-06,1227,佳格,29.1,29.1,28.75,28.8,431,-124,0,-10,5.58,94.41,100.0,-
2026-02-06,1229,聯華,45.45,45.45,44.85,44.95,1663,-888,-5,-19,9.46,90.53,100.0,-
2026-02-06,1231,聯華食,93.6,93.7,92.0,92.8,556,-358,0,-3,2.82,97.17,100.0,-
2026-02-06,1232,大統益,147.5,147.5,145.0,147.5,120,18,0,-3,2.27,97.72,100.0,-
2026-02-06,1233,天仁,32.3,32.3,32.05,32.2,34,0,0,25,5.5,94.49,100.0,-
2026-02-06,1234,黑松,37.05,37.05,36.6,36.9,103,-55,0,-1,4.76,95.23,100.0,-
2026-02-06,1235,興泰,40.8,41.05,40.4,40.85,10,-2,0,-1,0.17,99.82,100.0,-
2026-02-06,1236,宏亞,26.65,26.65,26.35,26.55,98,-13,0,2,0.43,99.56,100.0,-
2026-02-06,1240,茂生農經,60.2,60.2,59.9,60.0,14,-1,0,0,3.64,96.35,100.0,-
2026-02-06,1256,鮮活果汁-KY,161.0,168.0,159.0,165.0,82,-13,0,0,4.29,95.7,100.0,-
2026-02-06,1259,安心,61.0,61.0,61.0,61.0,2,1,0,0,26.12,73.87,100.0,-
2026-02-06,1260,富味鄉,20.5,21.4,20.3,21.4,36,0,0,0,0.0,0.0,0.0,-
2026-02-06,1264,德麥,280.0,284.5,280.0,283.0,47,18,0,0,1.53,98.46,100.0,-
2026-02-06,1268,漢來美食,161.0,161.5,159.0,161.0,31,2,0,0,1.64,98.35,100.0,-
2026-02-06,1269,乾杯,66.72,69.3,66.1,69.3,0,0,0,0,0.0,0.0,0.0,-
2026-02-06,1271,晨暉生技,59.53,59.7,59.0,59.2,50,0,0,0,0.0,0.0,0.0,-
2026-02-06,1293,利統,28.1,28.1,27.65,28.1,2,0,0,0,0.0,0.0,0.0,-
2026-02-06,1294,漢田生技,77.5,78.9,77.4,78.7,12,-2,0,0,0.46,99.53,100.0,-
2026-02-06,1295,生合,77.0,77.0,74.8,75.6,86,7,0,0,2.46,97.53,100.0,-
2026-02-06,1301,台塑,46.95,47.55,45.3,45.75,37569,-2855,0,-1204,29.23,70.76,100.0,-
2026-02-06,1303,南亞,73.9,77.3,71.8,73.5,141245,2385,1066,27,30.79,69.2,100.0,-
2026-02-06,1304,台聚,11.55,11.55,11.15,11.2,4668,-1868,0,-425,28.81,71.18,100.0,-
2026-02-06,1305,華夏,11.8,11.8,11.25,11.5,1749,-608,0,-20,4.64,95.35,100.0,-
2026-02-06,1307,三芳,31.75,31.75,30.7,31.1,717,-48,0,-2,7.1,92.89,100.0,-
2026-02-06,1308,亞聚,13.4,13.45,12.95,13.15,1949,-851,0,-81,5.55,94.44,100.0,-
2026-02-06,1309,台達化,12.25,12.3,11.75,11.8,1149,-462,0,-3,2.16,97.83,100.0,-
2026-02-06,1310,台苯,8.9,8.97,8.71,8.91,2218,97,0,-11,7.25,92.74,100.0,-
2026-02-06,1312,國喬,12.6,12.6,12.1,12.45,7078,-1452,0,-635,6.3,93.69,100.0,-
2026-02-06,1313,聯成,10.4,10.4,10.0,10.15,3063,-1083,0,-16,7.46,92.53,100.0,-
