date,stock_id,stock_name,open,high,low,close,volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio,macd_status
2026-02-05,50,元大台灣50,72.05,72.25,71.75,72.0,107575,-48799,0,-17067,2.77,97.22,100.0,-
2026-02-05,51,元大中型100,107.35,107.35,105.0,105.3,94,0,0,-50,0.54,99.45,100.0,-
2026-02-05,52,富邦科技,42.88,43.02,42.76,42.86,41423,-500,610,-21253,0.68,99.31,100.0,-
2026-02-05,53,元大電子,159.85,160.05,158.25,158.8,17,-2,0,0,1.31,98.68,100.0,-
2026-02-05,55,元大MSCI金融,32.28,32.46,32.09,32.4,174,17,0,78,0.59,99.4,100.0,-
2026-02-05,56,元大高股息,37.59,37.79,37.5,37.55,37738,-5543,0,-2424,0.35,99.64,100.0,-
2026-02-05,57,富邦摩台,214.2,214.2,213.25,213.25,13,0,0,-2,4.09,95.9,100.0,-
2026-02-05,61,元大寶滬深,23.4,23.6,23.38,23.4,210,92,0,57,5.68,94.31,100.0,-
2026-02-05,1101,台泥,25.8,26.1,25.65,25.7,27607,-6217,-28,2270,18.17,81.82,100.0,-
2026-02-05,1102,亞泥,35.0,35.5,35.0,35.35,5978,658,-287,-8,16.73,83.26,100.0,-
2026-02-05,1103,嘉泥,14.0,14.0,13.9,13.9,422,40,0,-3,4.54,95.45,100.0,-
2026-02-05,1104,環泥,29.85,29.9,29.65,29.8,202,5,0,2,16.34,83.65,100.0,-
2026-02-05,1108,幸福,15.05,15.15,15.05,15.1,112,9,0,0,1.27,98.72,100.0,-
2026-02-05,1109,信大,15.4,15.5,15.4,15.45,55,14,0,0,2.28,97.71,100.0,-
2026-02-05,1110,東泥,16.3,16.55,16.15,16.25,128,21,0,-6,5.95,94.04,100.0,-
2026-02-05,1201,味全,14.45,14.6,14.45,14.55,254,106,0,0,5.45,94.54,100.0,-
2026-02-05,1203,味王,39.7,39.7,39.45,39.5,8,1,0,-1,1.62,98.37,100.0,-
2026-02-05,1210,大成,51.0,51.6,51.0,51.3,1478,621,-26,-7,10.16,89.83,100.0,-
2026-02-05,1213,大飲,10.1,10.1,9.8,10.05,9,0,0,0,0.02,99.97,100.0,-
2026-02-05,1215,卜蜂,150.0,150.5,148.5,149.0,384,8,0,-18,41.56,58.43,100.0,-
2026-02-05,1216,統一,72.2,73.6,72.2,73.3,8268,2633,-246,-180,32.79,67.2,100.0,-
2026-02-05,1217,愛之味,10.5,10.6,10.5,10.5,270,146,0,0,8.35,91.64,100.0,-
2026-02-05,1218,泰山,18.15,18.35,18.1,18.3,481,348,0,7,3.23,96.76,100.0,-
2026-02-05,1219,福壽,13.5,13.6,13.5,13.55,142,36,0,-11,5.4,94.59,100.0,-
2026-02-05,1220,台榮,12.9,13.0,12.8,12.8,69,-6,0,-3,7.02,92.97,100.0,-
2026-02-05,1225,福懋油,28.95,28.95,28.05,28.35,177,-49,0,-1,1.42,98.57,100.0,-
