date,stock_id,stock_name,open,high,low,close,volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio
2026-05-25,0050,元大台灣50,99.55,101.0,99.55,100.8,129483,19246,1866,7357,3.32,96.67,100.0
2026-05-25,0051,元大中型100,138.45,141.2,138.45,140.65,135,0,0,-52,0.58,99.41,100.0
2026-05-25,0052,富邦科技,58.9,59.95,58.9,59.6,46477,795,0,126,2.55,97.44,100.0
2026-05-25,0053,元大電子,229.7,235.35,229.7,235.35,45,1,0,18,1.38,98.61,100.0
2026-05-25,0055,元大MSCI金融,33.88,33.95,33.7,33.95,687,-59,0,-157,0.64,99.35,100.0
2026-05-25,0056,元大高股息,47.51,48.41,47.51,48.35,64623,25778,0,6607,1.0,98.99,100.0
2026-05-25,0057,富邦摩台,298.55,299.7,296.95,298.35,148,0,0,-13,6.75,93.24,100.0
2026-05-25,0061,元大寶滬深,24.79,24.99,24.79,24.83,325,178,0,72,4.62,95.37,100.0
2026-05-25,1101,台泥,24.1,24.45,23.95,24.3,33786,-5154,5,248,15.08,84.91,100.0
2026-05-25,1102,亞泥,34.45,34.5,33.6,33.6,26457,-18189,-533,-17,15.33,84.66,100.0
2026-05-25,1103,嘉泥,13.1,13.25,13.05,13.2,413,133,0,1,4.51,95.48,100.0
2026-05-25,1104,環泥,27.85,27.85,27.5,27.55,820,-360,0,0,15.45,84.54,100.0
2026-05-25,1108,幸福,13.55,13.55,13.4,13.5,407,-174,0,0,1.19,98.8,100.0
2026-05-25,1109,信大,14.6,14.6,14.4,14.4,404,53,0,15,2.27,97.72,100.0
2026-05-25,1110,東泥,14.2,14.25,13.9,14.0,505,-20,0,-2,5.89,94.1,100.0
2026-05-25,1201,味全,12.05,12.05,11.9,12.0,951,-126,0,0,4.99,95.0,100.0
2026-05-25,1203,味王,42.6,43.1,42.2,42.6,53,-1,0,2,1.71,98.28,100.0
2026-05-25,1210,大成,52.4,52.4,52.0,52.1,2601,-1114,-6,1,11.89,88.1,100.0
2026-05-25,1213,大飲,8.47,8.47,8.1,8.27,52,0,0,0,0.01,99.98,100.0
2026-05-25,1215,卜蜂,143.5,144.0,139.0,142.5,1753,-197,-108,-37,34.87,65.12,100.0
2026-05-25,1216,統一,72.0,72.0,71.2,71.2,13632,-6954,4455,36,32.31,67.68,100.0
2026-05-25,1217,愛之味,9.4,9.48,9.34,9.41,667,20,0,6,7.45,92.54,100.0
2026-05-25,1218,泰山,18.6,18.6,18.35,18.45,1238,-505,0,0,3.74,96.25,100.0
2026-05-25,1219,福壽,12.4,12.55,12.3,12.45,597,-131,0,26,5.54,94.45,100.0
2026-05-25,1220,台榮,11.85,11.9,11.7,11.85,293,-14,0,12,7.08,92.91,100.0
2026-05-25,1225,福懋油,29.6,30.2,29.4,29.8,135,-16,0,3,1.3,98.69,100.0
2026-05-25,1227,佳格,28.4,28.4,28.05,28.1,1416,-580,0,9,5.49,94.5,100.0
2026-05-25,1229,聯華,38.7,38.95,38.0,38.5,5426,-21,0,3,9.02,90.97,100.0
2026-05-25,1231,聯華食,85.5,85.5,84.1,84.8,673,-110,0,-4,2.59,97.4,100.0
2026-05-25,1232,大統益,147.5,148.5,147.5,148.5,132,1,0,4,2.6,97.39,100.0
2026-05-25,1233,天仁,28.8,28.85,28.55,28.55,31,-3,0,2,5.68,94.31,100.0
2026-05-25,1234,黑松,33.55,33.95,33.55,33.95,140,-4,0,0,4.7,95.29,100.0
2026-05-25,1235,興泰,38.35,39.4,37.3,37.95,14,1,0,-1,0.25,99.74,100.0
2026-05-25,1236,宏亞,25.0,25.0,24.0,24.35,36,-4,0,6,0.44,99.55,100.0
2026-05-25,1240,茂生農經,57.5,57.8,57.5,57.7,13,1,0,0,3.66,96.33,100.0
2026-05-25,1256,鮮活果汁-KY,183.5,184.0,180.0,184.0,116,18,0,4,4.79,95.2,100.0
2026-05-25,1259,安心,56.3,57.0,56.2,57.0,14,1,0,0,26.12,73.87,100.0
2026-05-25,1260,富味鄉,24.84,25.05,23.85,24.5,89,1,0,0,0.0,0.0,0.0
2026-05-25,1264,德麥,272.5,272.5,271.0,272.0,29,3,0,-2,1.72,98.27,100.0
2026-05-25,1268,漢來美食,172.0,172.0,167.0,169.5,51,-12,0,0,1.54,98.45,100.0
2026-05-25,1269,乾杯,70.77,70.8,70.8,70.8,0,0,0,0,0.0,0.0,0.0
2026-05-25,1271,晨暉生技,61.76,62.2,61.7,62.0,34,0,0,0,0.0,0.0,0.0
2026-05-25,1293,利統,27.0,28.0,28.0,28.0,0,0,0,0,0.0,0.0,0.0
2026-05-25,1294,漢田生技,77.6,77.6,77.0,77.0,22,-2,0,0,0.69,99.3,100.0
2026-05-25,1295,生合,52.1,52.1,50.2,50.3,89,-37,0,0,2.16,97.83,100.0
2026-05-25,1301,台塑,45.45,45.5,44.2,44.8,21422,-3370,-150,-16,30.44,69.55,100.0
2026-05-25,1303,南亞,87.4,89.2,86.4,87.1,32588,1376,180,175,32.72,67.27,100.0
2026-05-25,1304,台聚,12.25,12.3,11.85,12.15,5604,1729,0,-39,28.28,71.71,100.0
2026-05-25,1305,華夏,12.3,12.5,11.9,12.35,4535,1027,0,-2,4.34,95.65,100.0
2026-05-25,1307,三芳,31.5,31.65,30.75,31.0,1672,-894,-14,-5,6.67,93.32,100.0
2026-05-25,1308,亞聚,13.2,13.45,12.9,13.35,3329,414,0,-18,4.29,95.7,100.0
2026-05-25,1309,台達化,15.55,15.75,14.95,15.65,6346,633,0,2,2.92,97.07,100.0
2026-05-25,1310,台苯,7.95,8.05,7.78,8.01,3883,161,0,-14,4.54,95.45,100.0
2026-05-25,1312,國喬,10.5,10.5,10.1,10.4,7388,1680,0,34,4.28,95.71,100.0
