date,stock_id,stock_name,open,high,low,close,volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio
2026-05-14,0050,元大台灣50,96.9,97.2,95.75,96.05,57229,-6046,580,-2,3.34,96.65,100.0
2026-05-14,0051,元大中型100,134.35,134.35,131.95,132.45,108,0,0,-51,0.45,99.54,100.0
2026-05-14,0052,富邦科技,57.0,57.15,56.2,56.6,25099,3903,-350,3449,2.12,97.87,100.0
2026-05-14,0053,元大電子,224.7,224.7,222.9,223.8,9,0,0,-3,0.74,99.25,100.0
2026-05-14,0055,元大MSCI金融,33.9,34.05,33.63,33.66,213,-14,0,-100,0.67,99.32,100.0
2026-05-14,0056,元大高股息,45.51,45.65,45.15,45.15,35738,-3947,0,14611,0.87,99.12,100.0
2026-05-14,0057,富邦摩台,289.95,289.95,286.0,287.1,5,0,0,-3,5.76,94.23,100.0
2026-05-14,0061,元大寶滬深,25.5,25.7,25.21,25.34,236,60,0,-55,4.58,95.41,100.0
2026-05-14,1101,台泥,24.65,24.8,24.4,24.55,29408,-13939,-14,-92,16.04,83.95,100.0
2026-05-14,1102,亞泥,35.0,35.45,35.0,35.2,13239,-1808,-436,-255,16.35,83.64,100.0
2026-05-14,1103,嘉泥,13.1,13.25,13.0,13.05,445,-159,0,-12,4.57,95.42,100.0
2026-05-14,1104,環泥,28.0,28.15,27.9,27.9,634,-347,-4,-49,15.65,84.34,100.0
2026-05-14,1108,幸福,14.2,14.2,13.9,13.95,496,-162,0,0,1.23,98.76,100.0
2026-05-14,1109,信大,15.3,15.3,14.95,15.2,922,-131,0,-6,2.35,97.64,100.0
2026-05-14,1110,東泥,14.4,14.55,14.1,14.4,273,-114,0,-1,5.86,94.13,100.0
2026-05-14,1201,味全,12.2,12.3,12.15,12.15,449,46,0,-6,5.09,94.9,100.0
2026-05-14,1203,味王,42.3,42.85,42.3,42.65,28,-8,0,-2,1.72,98.27,100.0
2026-05-14,1210,大成,52.3,52.9,52.3,52.6,1734,260,-104,-40,11.92,88.07,100.0
2026-05-14,1213,大飲,8.5,8.95,8.34,8.95,8,0,0,0,0.01,99.98,100.0
2026-05-14,1215,卜蜂,135.5,140.0,135.5,138.5,1672,-445,220,34,35.56,64.43,100.0
2026-05-14,1216,統一,74.6,75.6,74.6,74.8,12388,2394,-1482,78,32.58,67.41,100.0
2026-05-14,1217,愛之味,9.67,9.67,9.61,9.61,447,-244,0,-6,7.55,92.44,100.0
2026-05-14,1218,泰山,18.85,18.95,18.75,18.75,404,-164,0,-3,4.07,95.92,100.0
2026-05-14,1219,福壽,13.0,13.1,12.95,12.95,621,-51,0,-2,5.62,94.37,100.0
2026-05-14,1220,台榮,12.25,12.25,12.05,12.1,224,-93,0,0,7.12,92.87,100.0
2026-05-14,1225,福懋油,30.0,30.75,29.75,30.25,1223,-11,0,-1,1.38,98.61,100.0
2026-05-14,1227,佳格,28.8,28.95,28.55,28.55,1327,-663,-2,-34,5.6,94.39,100.0
2026-05-14,1229,聯華,40.3,40.6,39.8,39.95,3408,-1483,-7,-36,9.12,90.87,100.0
2026-05-14,1231,聯華食,85.7,86.6,85.7,85.8,261,11,-1,-8,2.73,97.26,100.0
2026-05-14,1232,大統益,148.0,149.0,147.5,147.5,106,-32,-1,-2,2.6,97.39,100.0
2026-05-14,1233,天仁,28.8,29.0,28.8,28.8,14,-6,0,0,5.6,94.39,100.0
2026-05-14,1234,黑松,34.6,34.6,33.9,34.0,533,-180,0,-1,4.77,95.22,100.0
2026-05-14,1235,興泰,42.45,42.45,40.0,40.0,22,-5,0,-1,0.26,99.73,100.0
2026-05-14,1236,宏亞,24.35,24.55,24.1,24.5,37,-5,0,3,0.45,99.54,100.0
2026-05-14,1240,茂生農經,58.7,58.7,58.3,58.3,9,1,0,0,3.65,96.34,100.0
2026-05-14,1256,鮮活果汁-KY,196.0,196.0,184.0,185.0,222,8,0,-2,4.77,95.22,100.0
2026-05-14,1259,安心,57.3,57.8,57.0,57.2,29,1,0,0,26.11,73.88,100.0
2026-05-14,1260,富味鄉,24.64,24.9,23.8,24.15,74,-4,0,0,0.0,0.0,0.0
2026-05-14,1264,德麥,271.5,273.0,271.5,272.0,34,3,0,-18,1.69,98.3,100.0
2026-05-14,1268,漢來美食,159.0,159.0,158.5,159.0,19,-1,0,0,1.55,98.44,100.0
2026-05-14,1269,乾杯,67.5,68.7,65.5,68.7,0,0,0,0,0.0,0.0,0.0
2026-05-14,1271,晨暉生技,65.35,66.6,61.6,62.5,174,1,0,0,0.0,0.0,0.0
2026-05-14,1293,利統,28.0,28.1,26.9,28.1,5,0,0,0,0.0,0.0,0.0
2026-05-14,1294,漢田生技,78.4,78.4,77.6,77.8,37,4,0,0,0.67,99.32,100.0
2026-05-14,1295,生合,51.1,51.6,50.5,50.9,73,6,0,0,1.98,98.01,100.0
2026-05-14,1301,台塑,46.85,47.1,46.0,46.1,18540,-3945,-54,-358,30.68,69.31,100.0
2026-05-14,1303,南亞,87.0,89.6,85.3,85.3,51575,-5958,-427,-102,33.01,66.98,100.0
2026-05-14,1304,台聚,12.85,12.85,12.55,12.75,4595,58,0,-99,27.91,72.08,100.0
2026-05-14,1305,華夏,12.75,12.8,12.5,12.65,3694,505,0,-38,4.18,95.81,100.0
2026-05-14,1307,三芳,31.9,32.1,31.7,31.9,900,106,-24,-3,6.95,93.04,100.0
2026-05-14,1308,亞聚,13.35,13.45,13.2,13.3,2589,670,0,-58,4.06,95.93,100.0
2026-05-14,1309,台達化,16.25,16.25,15.95,16.1,4148,1698,0,-8,2.89,97.1,100.0
2026-05-14,1310,台苯,8.35,8.35,8.02,8.04,5741,-583,0,19,4.73,95.26,100.0
2026-05-14,1312,國喬,11.0,11.05,10.6,10.65,6970,575,0,-154,4.37,95.62,100.0
2026-05-14,1313,聯成,10.9,11.05,10.55,10.55,4731,-1100,0,9,5.92,94.07,100.0
2026-05-14,1314,中石化,7.02,7.03,6.87,6.91,27451,-2166,0,-201,8.68,91.31,100.0
2026-05-14,1315,達新,61.2,61.4,60.7,61.1,32,-15,0,-1,1.28,98.71,100.0
2026-05-14,1316,上曜,11.2,11.25,10.95,11.15,1682,-14,0,0,4.31,95.68,100.0
2026-05-14,1319,東陽,80.2,80.5,79.1,79.2,2126,-318,-127,-46,7.59,92.4,100.0
2026-05-14,1321,大洋,29.25,29.95,29.25,29.5,146,-35,0,-1,6.77,93.22,100.0
2026-05-14,1323,永裕,19.2,19.5,19.1,19.35,79,-3,0,2,1.44,98.55,100.0
2026-05-14,1324,地球,10.25,10.3,10.2,10.3,366,13,0,0,0.81,99.18,100.0
2026-05-14,1325,恆大,26.85,27.4,26.85,27.0,226,2,0,0,1.27,98.72,100.0
2026-05-14,1326,台化,46.05,46.1,44.8,44.95,19735,-4406,-9,-390,37.14,62.85,100.0
2026-05-14,1336,台翰,13.7,13.7,13.65,13.65,83,-6,0,0,4.4,95.59,100.0
2026-05-14,1337,再生-KY,4.93,4.98,4.88,4.9,638,119,0,0,25.77,74.22,100.0
2026-05-14,1338,廣華-KY,15.9,15.95,15.25,15.45,256,-91,0,-9,6.1,93.89,100.0
2026-05-14,1339,昭輝,41.0,41.25,40.1,40.45,262,9,0,-1,1.03,98.96,100.0
2026-05-14,1340,勝悅-KY,5.46,5.71,5.42,5.55,475,-81,0,-11,26.55,73.44,100.0
2026-05-14,1341,富林-KY,61.1,61.1,60.7,60.7,6,-3,0,0,79.87,20.12,100.0
2026-05-14,1342,八貫,94.6,95.2,93.1,93.5,310,74,0,0,30.2,69.79,100.0
2026-05-14,1343,旭東環保,20.81,21.1,20.65,21.1,46,2,0,0,0.0,0.0,0.0
