date,stock_id,stock_name,open,high,low,close,volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio
2026-05-22,0050,元大台灣50,96.3,97.3,96.0,97.3,64288,7809,85,16868,3.06,96.93,100.0
2026-05-22,0051,元大中型100,133.6,136.4,133.6,136.4,91,0,0,25,0.59,99.4,100.0
2026-05-22,0052,富邦科技,56.85,57.7,56.6,57.65,33005,8676,0,5976,2.29,97.7,100.0
2026-05-22,0053,元大電子,224.95,226.5,224.4,225.85,26,0,0,8,1.36,98.63,100.0
2026-05-22,0055,元大MSCI金融,33.95,34.0,33.71,33.9,321,29,0,-29,0.71,99.28,100.0
2026-05-22,0056,元大高股息,45.82,46.41,45.66,46.35,56808,10407,0,24693,0.87,99.12,100.0
2026-05-22,0057,富邦摩台,287.5,289.45,286.6,289.4,6,0,0,1,6.75,93.24,100.0
2026-05-22,0061,元大寶滬深,24.88,24.88,24.6,24.69,279,-13,0,102,4.44,95.55,100.0
2026-05-22,1101,台泥,24.2,24.2,23.95,24.1,22434,-9598,-20,-273,15.16,84.83,100.0
2026-05-22,1102,亞泥,34.6,34.8,34.4,34.4,11752,-4437,299,-291,15.84,84.15,100.0
2026-05-22,1103,嘉泥,13.0,13.15,12.95,13.1,183,13,0,0,4.49,95.5,100.0
2026-05-22,1104,環泥,27.5,27.6,27.45,27.55,410,-149,0,0,15.5,84.49,100.0
2026-05-22,1108,幸福,13.8,13.8,13.5,13.55,687,148,0,0,1.23,98.76,100.0
2026-05-22,1109,信大,14.65,14.65,14.4,14.55,402,-5,0,4,2.25,97.74,100.0
2026-05-22,1110,東泥,14.0,14.2,14.0,14.2,151,-28,0,0,5.81,94.18,100.0
2026-05-22,1201,味全,12.1,12.1,11.95,12.05,496,-128,0,0,5.01,94.98,100.0
2026-05-22,1203,味王,42.4,42.8,42.3,42.6,42,-2,0,0,1.71,98.28,100.0
2026-05-22,1210,大成,53.0,53.0,52.3,52.4,2137,-1442,-10,0,11.97,88.02,100.0
2026-05-22,1213,大飲,8.75,8.75,8.25,8.47,15,0,0,0,0.01,99.98,100.0
2026-05-22,1215,卜蜂,143.0,145.0,143.0,143.0,1442,-527,37,-1,34.88,65.11,100.0
2026-05-22,1216,統一,72.8,72.9,71.4,71.5,18384,-12079,5472,-336,32.42,67.57,100.0
2026-05-22,1217,愛之味,9.42,9.45,9.37,9.42,523,109,0,0,7.46,92.53,100.0
2026-05-22,1218,泰山,18.55,18.65,18.45,18.65,470,-133,0,0,3.83,96.16,100.0
2026-05-22,1219,福壽,12.55,12.55,12.4,12.45,585,-313,0,0,5.56,94.43,100.0
2026-05-22,1220,台榮,11.9,11.9,11.8,11.85,122,-10,0,0,7.09,92.9,100.0
2026-05-22,1225,福懋油,29.1,29.45,28.9,29.45,81,-13,0,1,1.3,98.69,100.0
2026-05-22,1227,佳格,28.5,28.55,28.35,28.45,634,-29,0,4,5.54,94.45,100.0
2026-05-22,1229,聯華,38.9,39.05,38.55,38.7,3163,-1267,0,3,8.99,91.0,100.0
2026-05-22,1231,聯華食,86.6,86.6,85.8,85.8,302,-124,0,-1,2.58,97.41,100.0
2026-05-22,1232,大統益,148.0,148.0,147.5,147.5,74,-21,0,0,2.59,97.4,100.0
2026-05-22,1233,天仁,28.9,28.9,28.8,28.8,5,0,0,0,5.68,94.31,100.0
2026-05-22,1234,黑松,33.75,33.85,33.55,33.55,137,-24,0,0,4.7,95.29,100.0
2026-05-22,1235,興泰,37.3,39.25,37.15,38.35,14,1,0,-1,0.25,99.74,100.0
2026-05-22,1236,宏亞,23.6,24.0,23.6,24.0,23,3,0,0,0.45,99.54,100.0
2026-05-22,1240,茂生農經,57.7,57.8,57.7,57.7,14,0,0,-7,3.65,96.34,100.0
2026-05-22,1256,鮮活果汁-KY,189.5,189.5,183.0,183.5,90,-27,0,0,4.73,95.26,100.0
2026-05-22,1259,安心,56.3,57.0,55.9,56.8,26,-5,0,0,26.12,73.87,100.0
2026-05-22,1260,富味鄉,24.21,25.8,23.8,24.8,94,11,0,0,0.0,0.0,0.0
2026-05-22,1264,德麥,273.0,273.0,272.5,273.0,16,-3,0,-3,1.72,98.27,100.0
2026-05-22,1268,漢來美食,170.0,171.5,167.5,171.5,144,-2,0,0,1.57,98.42,100.0
2026-05-22,1269,乾杯,70.71,70.8,67.5,70.8,0,0,0,0,0.0,0.0,0.0
2026-05-22,1271,晨暉生技,62.46,63.0,61.3,63.0,48,0,0,0,0.0,0.0,0.0
2026-05-22,1293,利統,27.9,28.25,26.9,28.25,6,0,0,0,0.0,0.0,0.0
2026-05-22,1294,漢田生技,78.0,78.0,77.8,77.8,15,1,0,0,0.69,99.3,100.0
2026-05-22,1295,生合,51.0,52.0,51.0,51.9,38,11,0,0,2.26,97.73,100.0
2026-05-22,1301,台塑,45.85,45.95,45.2,45.25,12293,-3576,-6,3,30.45,69.54,100.0
2026-05-22,1303,南亞,88.0,89.1,86.7,86.7,45973,-13197,-18,-98,32.71,67.28,100.0
2026-05-22,1304,台聚,12.25,12.35,12.0,12.3,5023,716,0,41,28.16,71.83,100.0
2026-05-22,1305,華夏,12.5,12.5,12.2,12.4,3403,446,0,-1,4.26,95.73,100.0
2026-05-22,1307,三芳,31.6,31.8,31.5,31.5,517,2,-9,0,6.89,93.1,100.0
2026-05-22,1308,亞聚,13.1,13.4,13.0,13.3,2355,644,0,-9,4.26,95.73,100.0
2026-05-22,1309,台達化,15.35,15.8,15.25,15.75,4331,888,0,-15,2.78,97.21,100.0
2026-05-22,1310,台苯,8.03,8.08,7.9,7.98,3803,-729,0,-17,4.5,95.49,100.0
2026-05-22,1312,國喬,10.65,10.65,10.25,10.4,5402,-662,0,-12,4.1,95.89,100.0
2026-05-22,1313,聯成,10.7,10.7,10.45,10.65,2240,702,0,9,5.87,94.12,100.0
2026-05-22,1314,中石化,7.21,7.24,7.06,7.08,19582,-6088,0,17,8.73,91.26,100.0
2026-05-22,1315,達新,60.4,61.1,60.4,60.9,21,-3,0,0,1.25,98.74,100.0
2026-05-22,1316,上曜,10.75,10.75,10.35,10.4,2522,-661,0,0,4.24,95.75,100.0
2026-05-22,1319,東陽,80.9,82.4,80.1,81.6,3108,435,-6,-26,7.6,92.39,100.0
2026-05-22,1321,大洋,29.5,29.65,29.1,29.35,303,-74,0,0,6.74,93.25,100.0
2026-05-22,1323,永裕,20.4,20.4,19.7,20.1,114,-10,0,-2,1.09,98.9,100.0
2026-05-22,1324,地球,10.35,10.35,10.15,10.2,116,20,0,2,0.82,99.17,100.0
2026-05-22,1325,恆大,26.95,26.95,26.55,26.6,428,-104,0,0,1.18,98.81,100.0
2026-05-22,1326,台化,45.5,45.75,45.15,45.55,11219,-2858,0,43,36.78,63.21,100.0
2026-05-22,1336,台翰,13.05,13.15,13.05,13.1,119,39,0,0,4.42,95.57,100.0
2026-05-22,1337,再生-KY,4.81,4.83,4.68,4.8,455,-42,0,0,26.04,73.95,100.0
2026-05-22,1338,廣華-KY,15.5,16.0,15.5,15.85,178,50,0,0,6.13,93.86,100.0
2026-05-22,1339,昭輝,41.2,41.2,40.5,40.7,98,13,0,0,1.05,98.94,100.0
2026-05-22,1340,勝悅-KY,5.45,5.52,5.3,5.45,259,61,0,-11,26.57,73.42,100.0
2026-05-22,1341,富林-KY,62.0,62.0,61.3,61.3,8,1,0,0,79.88,20.11,100.0
2026-05-22,1342,八貫,93.2,95.3,93.0,94.2,354,74,0,0,30.37,69.62,100.0
2026-05-22,1343,旭東環保,19.81,21.25,19.7,20.6,35,-7,0,0,0.0,0.0,0.0
2026-05-22,1402,遠東新,27.1,27.15,26.75,27.0,35815,-129,-8771,1,18.33,81.66,100.0
2026-05-22,1409,新纖,17.0,17.25,16.9,17.2,8991,6442,6,13,13.74,86.25,100.0
2026-05-22,1410,南染,26.8,26.8,26.4,26.5,17,1,0,0,18.92,81.07,100.0
2026-05-22,1413,宏洲,9.52,9.55,9.42,9.42,4,-1,0,0,0.39,99.6,100.0
2026-05-22,1414,東和,15.8,15.8,15.4,15.45,245,-100,0,0,1.24,98.75,100.0
2026-05-22,1416,廣豐,11.15,11.15,11.0,11.15,265,17,0,0,6.03,93.96,100.0
2026-05-22,1417,嘉裕,8.18,8.27,8.16,8.16,183,16,0,0,0.92,99.07,100.0
2026-05-22,1418,東華,18.0,18.0,17.7,17.75,31,-1,0,0,0.91,99.08,100.0
2026-05-22,1419,新紡,62.5,63.0,62.1,62.6,133,-56,0,0,1.12,98.87,100.0
2026-05-22,1423,利華,40.8,41.8,40.75,40.9,31,1,0,9,1.19,98.8,100.0
2026-05-22,1432,大魯閣,16.5,16.5,16.3,16.45,145,-21,0,-2,0.31,99.68,100.0
2026-05-22,1434,福懋,15.25,15.3,15.15,15.2,1689,-786,0,3,7.25,92.74,100.0
2026-05-22,1436,華友聯,45.35,45.45,44.9,45.45,248,-78,0,1,6.42,93.57,100.0
2026-05-22,1437,勤益控,28.2,28.55,28.2,28.5,159,17,0,0,8.25,91.74,100.0
2026-05-22,1438,三地開發,20.45,20.7,20.45,20.7,30,3,0,0,0.48,99.51,100.0
2026-05-22,1439,雋揚,24.95,26.2,24.95,25.9,169,148,0,0,0.87,99.12,100.0
2026-05-22,1440,南紡,11.35,11.4,11.25,11.35,1668,-634,0,-3,7.35,92.64,100.0
2026-05-22,1441,大東,9.32,9.34,9.28,9.34,91,5,0,0,1.33,98.66,100.0
2026-05-22,1442,名軒,26.05,26.1,25.7,26.0,707,-536,0,-1,8.64,91.35,100.0
2026-05-22,1443,立益,26.4,26.6,26.1,26.1,11,3,0,0,0.3,99.69,100.0
2026-05-22,1443,立益物流,26.4,26.6,26.1,26.1,11,3,0,0,0.3,99.69,100.0
2026-05-22,1444,力麗,5.95,5.96,5.9,5.95,986,127,0,0,5.13,94.86,100.0
2026-05-22,1445,大宇,12.1,12.1,11.8,11.8,211,36,0,1,3.05,96.94,100.0
2026-05-22,1446,宏和,15.5,15.8,15.45,15.7,142,11,0,-6,6.22,93.77,100.0
2026-05-22,1447,力鵬,5.9,6.05,5.74,6.0,2293,488,0,0,3.15,96.84,100.0
2026-05-22,1449,佳和,12.4,12.8,12.3,12.65,960,254,0,0,6.24,93.75,100.0
