date,stock_id,stock_name,open,high,low,close,volume,day_trading_volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio
2026-05-19,0050,元大台灣50,94.35,94.7,93.1,93.1,135939,8612,-46446,246,-42829,2.71,97.28,100.0
2026-05-19,0051,元大中型100,130.2,130.3,127.45,127.75,87,9,3,0,10,0.49,99.5,100.0
2026-05-19,0052,富邦科技,55.4,55.75,54.75,54.8,32719,2775,-8945,0,-5475,1.52,98.47,100.0
2026-05-19,0053,元大電子,217.5,217.5,212.25,212.25,17,1,-1,0,-12,1.32,98.67,100.0
2026-05-19,0055,元大MSCI金融,33.65,34.3,33.64,33.91,304,24,22,0,42,0.67,99.32,100.0
2026-05-19,0056,元大高股息,44.5,45.1,44.0,44.01,55685,10029,-4163,0,3100,0.87,99.12,100.0
2026-05-19,0057,富邦摩台,281.1,281.5,276.95,276.95,18,0,0,0,5,6.75,93.24,100.0
2026-05-19,0061,元大寶滬深,24.8,24.8,24.6,24.65,145,5,-24,0,64,4.38,95.61,100.0
2026-05-19,1101,台泥,24.1,24.4,24.1,24.2,27849,5449,-8331,12,514,15.57,84.42,100.0
2026-05-19,1102,亞泥,34.7,35.2,34.45,34.8,9446,1499,958,139,37,16.08,83.91,100.0
2026-05-19,1103,嘉泥,12.9,13.05,12.9,13.05,153,28,-8,0,1,4.52,95.47,100.0
2026-05-19,1104,環泥,27.35,27.65,27.35,27.45,313,30,17,0,-1,15.58,84.41,100.0
2026-05-19,1108,幸福,13.75,13.85,13.7,13.8,168,12,27,0,-8,1.22,98.77,100.0
2026-05-19,1109,信大,14.65,14.65,14.4,14.6,181,19,-6,0,-3,2.26,97.73,100.0
2026-05-19,1110,東泥,14.2,14.2,14.0,14.2,91,33,-18,0,0,5.83,94.16,100.0
2026-05-19,1201,味全,12.0,12.15,11.95,12.0,341,31,77,0,0,5.05,94.94,100.0
2026-05-19,1203,味王,40.15,42.0,40.15,40.75,6,2,2,0,0,1.71,98.28,100.0
2026-05-19,1210,大成,53.0,54.1,53.0,53.5,2553,440,1278,-102,39,12.15,87.84,100.0
2026-05-19,1213,大飲,8.38,8.52,8.0,8.2,57,0,0,0,0,0.01,99.98,100.0
2026-05-19,1215,卜蜂,142.0,143.5,141.0,141.5,1221,303,-308,-82,162,35.02,64.97,100.0
2026-05-19,1216,統一,75.6,75.6,74.5,74.8,12364,2277,1595,557,-42,32.71,67.28,100.0
2026-05-19,1217,愛之味,9.35,9.43,9.35,9.38,441,45,93,0,0,7.51,92.48,100.0
2026-05-19,1218,泰山,18.45,18.6,18.45,18.55,411,38,95,0,-10,3.86,96.13,100.0
2026-05-19,1219,福壽,12.5,12.65,12.5,12.65,384,64,151,0,-1,5.66,94.33,100.0
2026-05-19,1220,台榮,12.0,12.05,11.9,11.95,75,3,11,0,0,7.13,92.86,100.0
2026-05-19,1225,福懋油,28.8,29.3,28.8,29.1,146,14,42,0,-71,1.32,98.67,100.0
2026-05-19,1227,佳格,28.35,28.6,28.35,28.5,472,33,113,0,0,5.56,94.43,100.0
2026-05-19,1229,聯華,38.8,39.4,38.55,38.65,3206,514,-919,30,36,9.0,90.99,100.0
2026-05-19,1231,聯華食,85.9,87.6,85.9,87.4,396,89,-37,0,2,2.73,97.26,100.0
2026-05-19,1232,大統益,148.0,149.0,148.0,148.0,52,5,6,0,-1,2.61,97.38,100.0
2026-05-19,1233,天仁,28.8,28.8,28.65,28.65,19,0,0,0,0,5.59,94.4,100.0
2026-05-19,1234,黑松,33.4,34.2,33.4,34.0,191,18,19,0,0,4.74,95.25,100.0
2026-05-19,1235,興泰,37.8,40.5,37.8,40.5,8,1,4,0,0,0.26,99.73,100.0
2026-05-19,1236,宏亞,23.5,23.7,23.35,23.7,26,4,7,0,0,0.45,99.54,100.0
2026-05-19,1240,茂生農經,58.2,58.2,58.0,58.0,12,1,0,0,-1,3.66,96.33,100.0
2026-05-19,1256,鮮活果汁-KY,187.5,189.5,183.0,183.5,64,18,-5,0,0,4.76,95.23,100.0
2026-05-19,1259,安心,57.0,57.2,56.7,57.0,25,2,1,0,0,26.14,73.85,100.0
2026-05-19,1260,富味鄉,23.86,24.7,23.55,24.65,39,0,-4,0,0,0.0,0.0,0.0
2026-05-19,1264,德麥,272.0,273.0,272.0,272.5,16,0,0,0,-2,1.7,98.29,100.0
2026-05-19,1268,漢來美食,159.5,160.5,158.5,159.5,130,15,-1,0,0,1.57,98.42,100.0
2026-05-19,1269,乾杯,66.34,70.8,64.4,70.8,16,0,-1,0,0,0.0,0.0,0.0
2026-05-19,1271,晨暉生技,62.06,64.0,62.9,63.1,24,0,0,0,0,0.0,0.0,0.0
2026-05-19,1293,利統,27.22,28.1,27.0,28.1,0,0,0,0,0,0.0,0.0,0.0
2026-05-19,1294,漢田生技,77.4,77.6,77.1,77.6,14,1,3,0,0,0.69,99.3,100.0
2026-05-19,1295,生合,52.2,52.3,50.8,51.0,58,2,19,0,0,2.11,97.88,100.0
2026-05-19,1301,台塑,46.2,46.7,45.9,45.95,12463,3055,73,0,246,30.58,69.41,100.0
2026-05-19,1303,南亞,84.4,86.7,81.7,81.7,59035,21706,-12980,78,75,32.6,67.39,100.0
2026-05-19,1304,台聚,12.4,12.5,12.1,12.15,4163,1574,171,0,0,27.96,72.03,100.0
2026-05-19,1305,華夏,12.75,12.9,12.5,12.5,2192,539,-26,0,24,4.04,95.95,100.0
2026-05-19,1307,三芳,31.8,32.15,31.65,31.65,518,105,-199,-30,0,6.9,93.09,100.0
2026-05-19,1308,亞聚,13.2,13.45,13.1,13.15,1787,740,424,0,18,4.16,95.83,100.0
2026-05-19,1309,台達化,16.0,16.4,15.45,15.5,6152,1413,-1324,0,-6,2.33,97.66,100.0
2026-05-19,1310,台苯,8.03,8.11,7.96,7.97,1856,533,-695,0,4,4.64,95.35,100.0
2026-05-19,1312,國喬,10.5,10.8,10.45,10.5,3197,950,158,0,-72,4.28,95.71,100.0
2026-05-19,1313,聯成,10.45,10.7,10.45,10.5,2329,476,43,0,-6,5.78,94.21,100.0
2026-05-19,1314,中石化,7.03,7.15,6.93,6.94,20071,7857,-591,0,-93,8.73,91.26,100.0
2026-05-19,1315,達新,60.5,61.0,60.3,61.0,8,0,-1,0,0,1.26,98.73,100.0
2026-05-19,1316,上曜,10.8,10.85,10.4,10.4,2380,595,-353,0,5,4.25,95.74,100.0
2026-05-19,1319,東陽,79.7,80.8,79.5,80.0,1782,290,-377,-120,-42,7.47,92.52,100.0
2026-05-19,1321,大洋,29.3,29.6,29.3,29.45,161,29,47,0,10,6.77,93.22,100.0
2026-05-19,1323,永裕,19.5,20.0,19.45,20.0,136,17,18,0,-1,1.11,98.88,100.0
2026-05-19,1324,地球,10.2,10.25,10.15,10.25,44,4,2,0,0,0.8,99.19,100.0
2026-05-19,1325,恆大,27.8,28.8,27.5,27.55,1141,354,252,0,0,1.47,98.52,100.0
2026-05-19,1326,台化,45.2,45.95,44.9,44.9,15639,3070,-4719,0,-135,36.9,63.09,100.0
