date,stock_id,stock_name,open,high,low,close,volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio
2026-04-20,0050,元大台灣50,84.55,85.1,84.45,84.55,100551,-4220,600,-3521,3.56,96.43,100.0
2026-04-20,0051,元大中型100,121.95,123.3,121.95,122.65,189,1,0,25,0.57,99.42,100.0
2026-04-20,0052,富邦科技,49.5,49.5,49.15,49.2,54186,-4755,0,-14221,1.57,98.42,100.0
2026-04-20,0053,元大電子,194.25,195.2,193.55,194.45,19,0,0,6,1.28,98.71,100.0
2026-04-20,0055,元大MSCI金融,33.51,33.6,33.38,33.55,426,9,0,-141,0.56,99.43,100.0
2026-04-20,0056,元大高股息,41.31,41.58,41.31,41.47,72627,-9369,0,-226,0.63,99.36,100.0
2026-04-20,0057,富邦摩台,251.95,252.35,251.2,251.7,48,0,0,13,6.03,93.96,100.0
2026-04-20,0061,元大寶滬深,24.08,24.17,24.0,24.14,255,168,0,43,4.83,95.16,100.0
2026-04-20,1101,台泥,25.05,25.1,24.7,24.8,15979,-1240,0,-66,17.11,82.88,100.0
2026-04-20,1102,亞泥,35.7,35.85,34.95,34.95,17211,-5893,-5932,-43,15.58,84.41,100.0
2026-04-20,1103,嘉泥,14.05,14.05,13.8,13.85,296,43,0,0,4.5,95.49,100.0
2026-04-20,1104,環泥,29.4,29.45,29.1,29.15,783,-207,0,-3,16.07,83.92,100.0
2026-04-20,1108,幸福,14.9,14.9,14.75,14.75,331,31,0,0,1.37,98.62,100.0
2026-04-20,1109,信大,15.4,15.5,15.35,15.45,245,-2,0,0,2.35,97.64,100.0
2026-04-20,1110,東泥,15.85,15.9,15.5,15.5,155,36,0,1,5.99,94.0,100.0
2026-04-20,1201,味全,13.4,13.4,13.1,13.15,867,-222,0,0,5.22,94.77,100.0
2026-04-20,1203,味王,43.7,43.7,43.3,43.7,35,20,0,-1,1.69,98.3,100.0
2026-04-20,1210,大成,54.2,55.0,53.6,55.0,3671,1363,-946,-25,11.84,88.15,100.0
2026-04-20,1213,大飲,8.96,9.26,8.96,9.26,25,0,0,0,0.01,99.98,100.0
2026-04-20,1215,卜蜂,142.0,144.5,141.5,142.5,1142,-31,-331,64,39.27,60.72,100.0
2026-04-20,1216,統一,73.5,73.7,72.5,72.6,12685,3837,-6110,76,32.37,67.62,100.0
2026-04-20,1217,愛之味,10.4,10.4,10.3,10.4,493,-92,0,0,8.08,91.91,100.0
2026-04-20,1218,泰山,19.05,19.05,18.8,18.95,1155,-139,0,14,4.35,95.64,100.0
2026-04-20,1219,福壽,14.3,14.3,14.05,14.1,439,-165,0,12,5.95,94.04,100.0
2026-04-20,1220,台榮,12.75,12.8,12.5,12.55,245,-1,0,0,7.16,92.83,100.0
2026-04-20,1225,福懋油,33.85,34.35,33.5,33.95,544,63,0,-9,1.45,98.54,100.0
