date,stock_id,stock_name,open,high,low,close,volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio,macd_status
2026-03-20,50,元大台灣50,76.2,76.4,75.5,75.9,72638,-31150,700,59,2.93,97.06,100.0,-
2026-03-20,51,元大中型100,112.8,113.2,110.9,111.9,116,3,0,-46,0.56,99.43,100.0,-
2026-03-20,52,富邦科技,45.65,45.74,45.1,45.26,29899,-887,-907,-965,0.69,99.3,100.0,-
2026-03-20,53,元大電子,170.4,172.05,169.15,171.7,31,0,0,-17,1.35,98.64,100.0,-
2026-03-20,55,元大MSCI金融,32.21,32.4,32.15,32.36,89,12,0,19,0.53,99.46,100.0,-
2026-03-20,56,元大高股息,38.88,38.98,38.56,38.77,37631,-9982,0,-7355,0.2,99.79,100.0,-
2026-03-20,57,富邦摩台,225.7,226.65,225.25,225.3,12,7,0,-7,6.29,93.7,100.0,-
2026-03-20,61,元大寶滬深,23.44,23.56,23.3,23.37,411,183,0,64,4.65,95.34,100.0,-
2026-03-20,1101,台泥,23.9,24.2,23.3,23.55,54198,-5505,1646,-581,17.82,82.17,100.0,-
2026-03-20,1102,亞泥,34.0,34.8,33.9,34.8,10335,-1915,-360,-141,16.01,83.98,100.0,-
2026-03-20,1103,嘉泥,13.5,13.65,13.5,13.65,192,39,0,-8,4.45,95.54,100.0,-
2026-03-20,1104,環泥,29.1,29.45,29.1,29.2,418,44,0,-7,16.13,83.86,100.0,-
2026-03-20,1108,幸福,14.85,15.0,14.85,14.9,236,-17,0,0,1.24,98.75,100.0,-
2026-03-20,1109,信大,15.3,15.35,15.25,15.3,210,8,0,-2,2.31,97.68,100.0,-
2026-03-20,1110,東泥,15.55,15.55,15.05,15.1,373,-68,0,4,5.9,94.09,100.0,-
2026-03-20,1201,味全,13.65,13.8,13.6,13.65,568,-157,0,-4,5.32,94.67,100.0,-
2026-03-20,1203,味王,38.45,38.6,38.45,38.55,5,-2,0,0,1.61,98.38,100.0,-
2026-03-20,1210,大成,53.1,53.9,53.1,53.8,1857,438,1,-12,10.81,89.18,100.0,-
2026-03-20,1213,大飲,9.89,9.98,9.89,9.98,6,0,0,0,0.01,99.98,100.0,-
2026-03-20,1215,卜蜂,149.0,150.0,147.5,150.0,646,-243,2,-4,41.4,58.59,100.0,-
2026-03-20,1216,統一,70.4,71.2,70.2,70.2,15345,-4937,-815,186,32.16,67.83,100.0,-
2026-03-20,1217,愛之味,10.25,10.25,10.2,10.2,637,-129,0,-4,8.34,91.65,100.0,-
2026-03-20,1218,泰山,19.1,19.2,19.05,19.05,668,68,0,-5,4.11,95.88,100.0,-
2026-03-20,1219,福壽,13.55,13.65,13.5,13.6,236,40,0,-4,5.5,94.49,100.0,-
2026-03-20,1220,台榮,12.65,12.7,12.65,12.65,175,-10,0,0,7.12,92.87,100.0,-
2026-03-20,1225,福懋油,31.05,32.05,31.05,31.95,303,98,0,0,1.26,98.73,100.0,-
2026-03-20,1227,佳格,29.85,30.75,29.85,30.75,4343,615,-2,-87,6.11,93.88,100.0,-
2026-03-20,1229,聯華,44.5,45.05,43.85,43.85,2453,-633,-7,-35,9.31,90.68,100.0,-
2026-03-20,1231,聯華食,90.5,91.8,89.4,89.8,330,6,0,-6,2.66,97.33,100.0,-
2026-03-20,1232,大統益,149.0,150.5,149.0,149.5,72,25,0,-3,2.48,97.51,100.0,-
2026-03-20,1233,天仁,30.05,30.15,30.05,30.1,15,-8,0,0,5.52,94.47,100.0,-
2026-03-20,1234,黑松,35.95,36.15,35.95,36.0,96,10,0,0,4.74,95.25,100.0,-
2026-03-20,1235,興泰,36.0,39.75,35.9,39.75,51,-7,0,0,0.16,99.83,100.0,-
2026-03-20,1236,宏亞,26.95,27.25,26.8,27.1,87,-2,0,0,0.46,99.53,100.0,-
2026-03-20,1240,茂生農經,59.1,59.3,59.1,59.3,4,1,0,0,3.64,96.35,100.0,-
2026-03-20,1256,鮮活果汁-KY,155.5,156.5,154.0,154.0,40,-12,0,-2,4.15,95.84,100.0,-
2026-03-20,1259,安心,59.6,59.6,59.1,59.2,5,0,0,0,26.11,73.88,100.0,-
2026-03-20,1260,富味鄉,22.25,22.95,21.65,22.95,56,0,0,0,0.0,0.0,0.0,-
2026-03-20,1264,德麥,279.0,280.0,277.0,280.0,73,9,0,0,1.57,98.42,100.0,-
2026-03-20,1268,漢來美食,157.0,158.5,156.5,158.5,16,1,0,0,1.61,98.38,100.0,-
2026-03-20,1269,乾杯,62.41,64.2,61.2,61.2,6,0,0,0,0.0,0.0,0.0,-
2026-03-20,1271,晨暉生技,52.87,54.0,52.8,53.2,41,0,0,0,0.0,0.0,0.0,-
2026-03-20,1293,利統,28.55,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,-
2026-03-20,1294,漢田生技,83.2,83.6,82.3,82.6,67,11,0,0,0.78,99.21,100.0,-
2026-03-20,1295,生合,70.0,70.8,69.5,70.3,48,28,0,0,2.87,97.12,100.0,-
2026-03-20,1301,台塑,49.0,49.7,47.35,47.6,44047,-9461,-169,-685,28.83,71.16,100.0,-
2026-03-20,1303,南亞,84.2,84.7,78.1,78.4,79109,-23254,-665,-2618,30.65,69.34,100.0,-
2026-03-20,1304,台聚,15.2,15.55,14.9,15.05,65272,-5224,0,352,28.49,71.5,100.0,-
2026-03-20,1305,華夏,16.9,16.95,16.15,16.8,45892,-345,200,561,4.34,95.65,100.0,-
2026-03-20,1307,三芳,34.8,35.5,34.2,34.25,1541,-228,0,3,6.5,93.49,100.0,-
2026-03-20,1308,亞聚,16.7,17.6,16.2,16.5,30365,-3978,0,228,4.42,95.57,100.0,-
2026-03-20,1309,台達化,18.85,18.85,18.0,18.1,46510,1792,0,130,2.07,97.92,100.0,-
2026-03-20,1310,台苯,11.85,12.8,11.8,12.25,28108,-442,0,-19,5.35,94.64,100.0,-
2026-03-20,1312,國喬,14.75,15.25,14.15,14.3,45133,-4169,0,-99,5.11,94.88,100.0,-
2026-03-20,1313,聯成,13.1,13.6,12.9,12.95,16244,-1846,0,-2,5.83,94.16,100.0,-
2026-03-20,1314,中石化,8.67,8.88,8.49,8.49,59161,-5178,65,-554,9.18,90.81,100.0,-
2026-03-20,1315,達新,63.9,64.0,63.8,63.8,11,-3,0,0,1.16,98.83,100.0,-
2026-03-20,1316,上曜,13.0,13.15,12.7,12.7,1939,170,0,6,3.49,96.5,100.0,-
2026-03-20,1319,東陽,82.9,83.3,81.3,83.1,1942,-192,-160,24,10.71,89.28,100.0,-
2026-03-20,1321,大洋,33.0,33.5,32.95,33.25,84,9,0,-1,6.97,93.02,100.0,-
2026-03-20,1323,永裕,19.05,19.1,18.9,19.1,34,5,0,-1,1.66,98.33,100.0,-
2026-03-20,1324,地球,10.6,10.65,10.45,10.55,96,-20,0,0,0.59,99.4,100.0,-
2026-03-20,1325,恆大,27.25,27.35,26.85,27.25,306,60,0,0,1.33,98.66,100.0,-
2026-03-20,1326,台化,46.35,47.55,45.15,45.85,52035,-13429,-1044,-1290,33.88,66.11,100.0,-
2026-03-20,1336,台翰,15.0,15.05,14.7,14.8,73,-5,0,0,4.32,95.67,100.0,-
2026-03-20,1337,再生-KY,6.28,6.44,6.17,6.25,1518,-399,0,-8,25.03,74.96,100.0,-
2026-03-20,1338,廣華-KY,15.5,15.65,15.35,15.35,269,18,0,0,6.38,93.61,100.0,-
2026-03-20,1339,昭輝,42.5,42.5,41.25,41.35,49,-10,0,0,0.92,99.07,100.0,-
2026-03-20,1340,勝悅-KY,7.0,7.08,6.96,7.0,133,30,0,0,27.22,72.77,100.0,-
2026-03-20,1341,富林-KY,59.6,59.6,59.3,59.5,7,-1,0,0,79.8,20.19,100.0,-
2026-03-20,1342,八貫,86.8,87.1,86.0,86.0,301,-34,0,0,27.8,72.19,100.0,-
2026-03-20,1343,旭東環保,27.49,27.8,26.8,27.8,15,0,0,0,0.0,0.0,0.0,-
2026-03-20,1402,遠東新,26.65,26.95,26.35,26.4,29518,-10074,-45,-16,18.74,81.25,100.0,-
2026-03-20,1409,新纖,16.65,16.8,16.2,16.3,8209,-356,-1,-146,13.59,86.4,100.0,-
2026-03-20,1410,南染,31.9,31.95,30.9,31.05,108,4,0,-1,18.67,81.32,100.0,-
2026-03-20,1413,宏洲,9.98,9.98,9.68,9.72,9,-1,0,0,0.34,99.65,100.0,-
2026-03-20,1414,東和,18.85,18.85,18.25,18.25,217,-56,0,0,1.11,98.88,100.0,-
2026-03-20,1416,廣豐,11.7,11.7,11.6,11.7,130,-3,0,0,5.89,94.1,100.0,-
2026-03-20,1417,嘉裕,9.03,9.03,8.91,9.0,238,71,0,-17,0.92,99.07,100.0,-
2026-03-20,1418,東華,20.0,20.0,18.65,18.65,23,-4,0,0,0.9,99.09,100.0,-
2026-03-20,1419,新紡,60.9,61.7,60.3,60.3,203,28,0,6,1.15,98.84,100.0,-
2026-03-20,1423,利華,39.95,40.0,39.7,40.0,32,1,0,0,1.41,98.58,100.0,-
2026-03-20,1432,大魯閣,18.1,18.15,17.9,18.0,679,35,0,13,0.54,99.45,100.0,-
2026-03-20,1434,福懋,16.75,16.95,16.4,16.4,2096,-1037,-4,-15,7.73,92.26,100.0,-
2026-03-20,1435,中福,18.55,18.55,18.55,18.55,1,0,0,0,0.19,99.8,100.0,-
2026-03-20,1436,華友聯,55.6,58.5,55.6,56.4,450,71,0,0,4.67,95.32,100.0,-
2026-03-20,1437,勤益控,30.5,30.75,30.4,30.65,74,-14,0,0,8.01,91.98,100.0,-
2026-03-20,1438,三地開發,30.4,30.4,29.5,29.85,13,0,0,-2,0.32,99.67,100.0,-
2026-03-20,1439,雋揚,28.15,28.2,27.75,28.05,14,1,0,0,0.3,99.69,100.0,-
2026-03-20,1440,南紡,13.35,13.45,13.1,13.1,1737,-382,0,2,7.69,92.3,100.0,-
2026-03-20,1441,大東,9.92,9.92,9.9,9.92,37,2,0,0,1.21,98.78,100.0,-
2026-03-20,1442,名軒,27.5,28.8,27.5,28.0,1324,-4,0,0,10.83,89.16,100.0,-
2026-03-20,1443,立益,24.45,24.5,24.35,24.45,17,-2,0,-1,0.19,99.8,100.0,-
2026-03-20,1443,立益物流,24.45,24.5,24.35,24.45,17,-2,0,-1,0.19,99.8,100.0,-
2026-03-20,1444,力麗,6.48,6.56,6.41,6.41,1893,-377,0,-8,5.04,94.95,100.0,-
2026-03-20,1445,大宇,12.55,13.05,12.55,13.0,15,-3,0,0,2.85,97.14,100.0,-
2026-03-20,1446,宏和,17.2,17.45,17.2,17.3,279,-65,0,-11,6.29,93.7,100.0,-
2026-03-20,1447,力鵬,5.59,5.68,5.32,5.32,9472,-3845,0,0,3.88,96.11,100.0,-
2026-03-20,1449,佳和,13.95,14.3,13.35,13.5,15040,-467,0,-140,5.64,94.35,100.0,-
2026-03-20,1451,年興,18.05,18.1,17.95,17.95,84,-34,0,-1,5.66,94.33,100.0,-
2026-03-20,1452,宏益,11.2,11.3,11.15,11.2,92,-8,0,0,1.84,98.15,100.0,-
2026-03-20,1453,大將,12.6,12.7,12.4,12.4,331,6,0,-2,0.52,99.47,100.0,-
2026-03-20,1454,台富,12.85,12.9,12.8,12.9,12,-1,0,0,0.45,99.54,100.0,-
2026-03-20,1455,集盛,9.39,9.45,9.19,9.22,901,-188,0,4,2.19,97.8,100.0,-
2026-03-20,1456,怡華,13.35,14.45,13.35,14.45,215,0,0,-1,0.43,99.56,100.0,-
