date,stock_id,stock_name,open,high,low,close,volume,day_trading_volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio
2026-05-21,0050,元大台灣50,94.8,96.05,94.7,95.85,62215,6256,12025,3770,5150,2.97,97.02,100.0
2026-05-21,0051,元大中型100,128.8,132.7,128.8,132.55,58,2,14,0,14,0.59,99.4,100.0
2026-05-21,0052,富邦科技,55.8,56.6,55.75,56.4,21841,1495,5875,-220,2329,1.94,98.05,100.0
2026-05-21,0053,元大電子,220.25,222.25,220.25,222.25,24,0,2,0,15,1.36,98.63,100.0
2026-05-21,0055,元大MSCI金融,33.97,34.15,33.89,33.99,192,27,22,0,-26,0.67,99.32,100.0
2026-05-21,0056,元大高股息,44.74,45.52,44.74,45.44,50081,1690,10097,0,21760,0.89,99.1,100.0
2026-05-21,0057,富邦摩台,282.55,285.1,282.55,285.1,34,1,0,0,-1,6.75,93.24,100.0
2026-05-21,0061,元大寶滬深,24.79,25.27,24.79,24.99,307,47,24,0,95,4.46,95.53,100.0
2026-05-21,1101,台泥,24.15,24.35,23.95,24.2,20020,2568,-8003,137,-130,15.25,84.74,100.0
2026-05-21,1102,亞泥,34.75,34.95,34.5,34.95,6909,1810,-1,595,-320,16.01,83.98,100.0
2026-05-21,1103,嘉泥,13.1,13.1,13.0,13.05,206,1,-65,0,-8,4.49,95.5,100.0
2026-05-21,1104,環泥,27.5,27.75,27.4,27.5,558,96,-103,0,-20,15.52,84.47,100.0
2026-05-21,1108,幸福,13.75,13.8,13.7,13.75,95,1,-24,0,-1,1.2,98.79,100.0
2026-05-21,1109,信大,14.6,14.65,14.55,14.65,101,4,-10,0,0,2.25,97.74,100.0
2026-05-21,1110,東泥,14.0,14.2,13.9,14.2,299,50,-13,0,-1,5.82,94.17,100.0
2026-05-21,1201,味全,12.1,12.15,12.05,12.1,263,11,-36,0,0,5.04,94.95,100.0
2026-05-21,1203,味王,42.85,43.7,42.6,42.65,60,2,-8,0,-1,1.71,98.28,100.0
2026-05-21,1210,大成,53.1,53.5,52.9,52.9,1506,395,-53,-51,-6,12.13,87.86,100.0
2026-05-21,1213,大飲,8.7,8.7,8.31,8.49,4,0,0,0,0,0.01,99.98,100.0
2026-05-21,1215,卜蜂,142.0,146.0,142.0,144.0,2172,263,-35,-151,32,34.9,65.09,100.0
2026-05-21,1216,統一,73.5,73.8,72.6,73.1,13692,2578,-5173,3989,-361,32.61,67.38,100.0
2026-05-21,1217,愛之味,9.45,9.54,9.39,9.41,890,36,-386,0,-1,7.42,92.57,100.0
2026-05-21,1218,泰山,18.5,18.6,18.5,18.6,346,27,73,0,-3,3.85,96.14,100.0
2026-05-21,1219,福壽,12.5,12.6,12.5,12.5,421,40,-86,0,7,5.62,94.37,100.0
2026-05-21,1220,台榮,11.9,11.9,11.8,11.8,99,6,-33,0,0,7.09,92.9,100.0
2026-05-21,1225,福懋油,28.9,29.55,28.8,29.2,120,9,8,0,-17,1.31,98.68,100.0
2026-05-21,1227,佳格,28.55,28.75,28.4,28.6,951,129,-13,0,0,5.54,94.45,100.0
2026-05-21,1229,聯華,38.35,39.0,38.35,38.85,1873,154,441,34,-11,9.02,90.97,100.0
