date,stock_id,stock_name,open,high,low,close,volume,macd_status
2025-12-31,6555,榮炭,24.54,25.1,24.15,24.35,172,-
2025-12-31,6552,易華電,25.15,25.5,25.15,25.2,71,-
2025-12-31,4951,精拓科,64.6,66.2,64.6,64.9,74,-
2025-12-31,6539,麗彤,59.19,60.3,58.0,59.0,2,-
2025-12-31,6541,泰福-KY,56.5,57.0,55.0,55.0,620,-
2025-12-31,4949,有成精密,37.8,38.15,37.3,37.4,200,-
2025-12-31,6542,隆中,0.0,0.0,0.0,0.0,0,-
2025-12-31,6543,普惠醫工,28.4,28.55,28.1,28.5,7,-
2025-12-31,4946,辣椒,104.0,106.5,103.0,106.5,28,-
2025-12-31,6546,正基,63.5,63.5,61.7,62.4,230,-
2025-12-31,6547,高端疫苗,37.75,38.0,37.45,37.75,563,-
2025-12-31,6548,長科*,44.35,46.95,43.9,44.7,19858,-
2025-12-31,6549,景凱,7.63,7.75,7.52,7.71,63,-
2025-12-31,6550,北極星藥業-KY,30.65,31.65,30.6,31.1,1205,-
2025-12-31,6569,醫揚,110.0,110.0,109.0,109.5,60,-
2025-12-31,6570,維田,38.4,38.45,38.3,38.3,36,-
2025-12-31,6572,博錸,7.69,7.92,7.5,7.78,58,-
2025-12-31,6573,虹揚-KY,14.35,15.5,14.35,15.2,379,-
2025-12-31,6582,申豐,33.0,33.05,32.25,32.4,112,-
2025-12-31,6583,友松,15.8,0.0,0.0,0.0,0,-
2025-12-31,6584,南俊國際,351.5,351.5,344.0,347.0,871,-
2025-12-31,6585,鼎基,87.9,88.2,87.7,88.0,21,-
2025-12-31,6586,醣基,28.44,29.1,27.9,28.1,240,-
2025-12-31,6588,東典光電,48.5,49.6,47.0,47.0,682,-
2025-12-31,6589,台康生技,61.7,62.4,61.4,61.7,322,-
2025-12-31,6590,普鴻,75.8,75.8,75.8,75.8,6,-
2025-12-31,6591,動力-KY,76.4,76.6,75.4,75.4,349,-
2025-12-31,4938,和碩,68.7,68.8,68.1,68.6,10241,-
2025-12-31,5289,宜鼎,535.0,576.0,535.0,576.0,8079,-
2025-12-31,6592,和潤企業,60.4,60.4,59.6,59.9,717,-
2025-12-31,4935,茂林-KY,41.5,41.8,40.8,40.9,58,-
2025-12-31,4952,凌通,35.6,35.7,35.2,35.3,41,-
2025-12-31,4939,亞電,37.95,38.25,36.8,36.8,4606,-
2025-12-31,6580,台睿,21.47,22.2,21.05,21.9,49,-
2025-12-31,5285,界霖,50.2,51.6,50.0,50.3,298,-
2025-12-31,6574,霈方,67.1,67.2,67.1,67.2,5,-
2025-12-31,6576,逸達,80.9,80.9,79.8,80.6,96,-
2025-12-31,4943,康控-KY,12.3,13.15,12.3,12.9,16,-
2025-12-31,5299,杰力,70.6,71.8,70.6,70.8,33,-
2025-12-31,6577,勁豐,69.0,69.0,68.6,69.0,13,-
2025-12-31,6578,達邦蛋白,19.0,19.2,18.85,19.1,106,-
2025-12-31,5297,廣化,26.58,30.0,26.9,29.05,527,-
2025-12-31,5292,華懋,166.0,173.5,166.0,170.5,325,-
2025-12-31,6579,研揚,107.0,107.5,106.0,106.5,64,-
2025-12-31,4942,嘉彰,39.2,39.2,39.0,39.1,79,-
2025-12-31,5291,邑昇,26.7,27.0,26.7,27.0,36,-
2025-12-31,6538,倉和,69.4,69.4,66.7,67.1,82,-
2025-12-31,4953,緯軟,120.5,123.0,120.5,123.0,220,-
2025-12-31,6498,久禾光,90.7,92.1,90.2,90.2,31,-
2025-12-31,6499,益安,95.1,96.3,94.3,94.5,304,-
2025-12-31,6504,南六,41.05,41.95,40.8,41.45,71,-
2025-12-31,6505,台塑化,49.0,49.2,47.5,47.8,6031,-
2025-12-31,6508,惠光,23.5,23.95,23.5,23.7,64,-
2025-12-31,6509,聚和,32.95,32.95,32.4,32.45,278,-
2025-12-31,6510,精測,2345.0,2345.0,2265.0,2285.0,513,-
2025-12-31,6512,啟發電,20.7,20.7,20.7,20.7,4,-
2025-12-31,5347,世界,95.0,95.0,91.8,92.1,9752,-
2025-12-31,5276,達輝-KY,14.75,15.0,14.75,15.0,8,-
2025-12-31,6515,穎崴,2880.0,2925.0,2810.0,2840.0,749,-
2025-12-31,6516,勤崴國際,63.3,63.6,62.5,62.5,50,-
2025-12-31,6517,保勝光學,65.5,68.8,65.5,67.1,529,-
2025-12-31,5274,信驊,7550.0,7550.0,7230.0,7260.0,275,-
